Ram_EID,Ram_coller,Ewe_EID,Ewe_coller,Plot,14/2/2023 12:00,14/2/2023 16:00,14/2/2023 20:00,15/2/2023 00:00,15/2/2023 04:00,15/2/2023 08:00,15/2/2023 12:00,15/2/2023 16:00,15/2/2023 20:00,16/2/2023 00:00,16/2/2023 04:00,16/2/2023 08:00,16/2/2023 12:00,16/2/2023 16:00,16/2/2023 20:00,17/2/2023 00:00,17/2/2023 04:00,17/2/2023 08:00,17/2/2023 12:00,17/2/2023 16:00,17/2/2023 20:00,18/2/2023 00:00,18/2/2023 04:00,18/2/2023 08:00,18/2/2023 12:00,18/2/2023 16:00,18/2/2023 20:00,19/2/2023 00:00,19/2/2023 04:00,19/2/2023 08:00,19/2/2023 12:00,19/2/2023 16:00,19/2/2023 20:00,20/2/2023 00:00,20/2/2023 04:00,20/2/2023 08:00,20/2/2023 12:00,20/2/2023 16:00,20/2/2023 20:00,21/2/2023 00:00,21/2/2023 04:00,21/2/2023 08:00,21/2/2023 12:00,21/2/2023 16:00,21/2/2023 20:00,22/2/2023 00:00,22/2/2023 04:00,22/2/2023 08:00,22/2/2023 12:00,22/2/2023 16:00,22/2/2023 20:00,23/2/2023 00:00,23/2/2023 04:00,23/2/2023 08:00,23/2/2023 12:00,23/2/2023 16:00,23/2/2023 20:00,24/2/2023 00:00,24/2/2023 04:00,24/2/2023 08:00,24/2/2023 12:00,24/2/2023 16:00,24/2/2023 20:00,25/2/2023 00:00,25/2/2023 04:00,25/2/2023 08:00,25/2/2023 12:00,25/2/2023 16:00,25/2/2023 20:00,26/2/2023 00:00,26/2/2023 04:00,26/2/2023 08:00,26/2/2023 12:00,26/2/2023 16:00,26/2/2023 20:00,27/2/2023 00:00,27/2/2023 04:00,27/2/2023 08:00,27/2/2023 12:00,27/2/2023 16:00,27/2/2023 20:00,28/2/2023 00:00,28/2/2023 04:00,28/2/2023 08:00,28/2/2023 12:00,28/2/2023 16:00,28/2/2023 20:00,1/3/2023 00:00,1/3/2023 04:00,1/3/2023 08:00,1/3/2023 12:00,1/3/2023 16:00,1/3/2023 20:00,2/3/2023 00:00,2/3/2023 04:00,2/3/2023 08:00,2/3/2023 12:00,2/3/2023 16:00,2/3/2023 20:00,3/3/2023 00:00,3/3/2023 04:00,3/3/2023 08:00,3/3/2023 12:00,3/3/2023 16:00,3/3/2023 20:00,4/3/2023 00:00,4/3/2023 04:00,4/3/2023 08:00,4/3/2023 12:00,4/3/2023 16:00,4/3/2023 20:00,5/3/2023 00:00,5/3/2023 04:00,5/3/2023 08:00,5/3/2023 12:00,5/3/2023 16:00,5/3/2023 20:00,6/3/2023 00:00,6/3/2023 04:00,6/3/2023 08:00,6/3/2023 12:00,6/3/2023 16:00,6/3/2023 20:00,7/3/2023 00:00,7/3/2023 04:00,7/3/2023 08:00,7/3/2023 12:00,7/3/2023 16:00,7/3/2023 20:00
940 110006914414,w192267,940 110006544025,2545,No Shade,,4,11,6,1,,4,3,6,3,8,15,1,10,4,4,10,,13,4,3,4,1,,2,7,2,,5,7,,7,2,2,,3,10,,6,6,1,17,12,14,26,7,,3,3,13,6,13,8,3,8,6,18,,5,1,,10,4,6,3,1,1,,8,8,13,2,7,14,19,3,5,27,17,2,5,6,5,10,1,2,23,7,11,20,25,17,28,19,5,4,5,6,3,11,6,4,12,21,16,2,1,18,29,10,4,,,,,,,,,,,,,,,,,,
940 110006914414,w192267,940 110009540770,2427,No Shade,,1,7,5,3,,1,2,8,1,5,5,1,3,7,12,6,,,,2,14,2,,,2,3,5,2,1,4,,1,9,,4,1,2,2,3,3,,10,,2,4,,6,31,43,15,15,4,5,,4,11,1,2,31,31,4,12,6,8,,3,7,3,3,4,,3,6,1,3,4,3,4,4,17,8,17,,1,3,8,1,11,1,,3,,5,4,2,15,,4,1,5,1,,14,8,12,19,5,,1,5,,,4,7,7,18,4,15,,,1,4,2,12,1,1,,
940 110006914414,w192267,940 110009423262,W192426,No Shade,,1,12,43,149,72,6,5,7,5,2,7,5,6,1,6,3,1,23,3,3,4,,1,5,,3,11,,9,2,4,9,3,,1,1,1,8,6,2,,4,,14,3,,2,,22,2,35,3,6,5,1,15,2,9,11,23,4,2,2,35,1,,,8,6,2,11,7,13,5,3,5,7,1,12,14,19,12,4,4,,3,4,5,16,1,,1,6,2,4,11,3,6,4,7,6,6,3,20,11,2,6,4,2,4,2,1,2,,1,4,7,17,3,1,,,,,,,,
940 110006914414,w192267,940 110009538664,2437,No Shade,,,6,7,6,,3,2,7,,3,4,,2,11,4,,4,,3,9,10,1,4,1,,1,2,2,7,4,3,3,4,5,3,,5,3,17,7,9,3,2,8,5,2,2,3,2,2,24,6,9,6,12,17,11,1,1,8,11,14,26,,1,1,13,17,17,8,8,,7,8,13,14,4,,12,12,11,7,3,,3,3,9,3,,,2,14,12,27,8,,1,1,1,,,,3,,,,3,12,4,5,2,15,1,,4,4,1,5,4,,,,,,,,,
940 110006914414,w192267,940 110009539860,2622,No Shade,,,,7,3,,4,15,19,7,7,24,2,3,2,3,12,3,13,4,3,24,1,1,18,1,3,5,8,6,3,3,6,1,3,3,2,2,2,9,,1,3,1,1,6,,5,7,4,10,1,5,10,4,3,11,10,9,,3,1,,1,5,,1,9,1,,1,1,3,6,2,3,1,1,,3,1,7,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940 110006914414,w192267,940 110009540374,2928,No Shade,,9,3,4,1,2,10,11,13,5,1,3,,1,3,6,1,,2,2,,4,,4,2,,1,,1,10,6,,4,8,,,5,1,5,4,1,2,,,4,6,1,13,2,5,1,,6,18,8,7,4,3,7,1,,,1,4,2,2,7,,10,2,2,1,8,,4,10,2,13,,4,11,8,4,11,3,1,31,19,10,32,15,2,4,13,6,7,1,26,4,2,1,17,17,12,18,18,22,1,8,2,11,1,1,1,7,14,18,27,3,3,72,1,4,12,10,4,9,,
940 110006914414,w192267,940 110009421996,w9562,No Shade,,8,4,7,4,5,4,6,7,7,8,,4,1,13,2,1,7,7,1,5,,,7,7,,7,3,,3,2,6,2,7,2,4,,2,2,,3,1,2,1,13,3,1,4,2,6,4,,1,1,1,2,3,5,19,34,1,,4,36,2,5,,6,19,5,3,27,29,11,33,34,27,8,14,1,3,,14,2,,,7,12,,17,3,,3,13,5,1,9,3,19,10,4,14,3,3,2,3,3,13,1,7,13,5,,,11,2,31,1,10,9,9,,,,,,,,
940 110006914414,w192267,940 110012567561,2445,No Shade,,5,10,4,,,,1,7,8,9,9,5,43,28,56,21,15,2,1,2,6,2,17,1,10,9,7,2,1,4,1,23,2,2,1,19,27,10,17,3,5,15,5,2,10,5,18,12,5,2,2,13,2,17,4,2,4,1,,1,,21,9,2,10,14,1,4,2,3,3,9,13,4,9,3,11,9,3,8,9,3,11,9,2,12,3,2,5,17,3,7,12,6,5,13,2,3,36,11,22,15,5,14,4,1,9,18,3,10,2,8,,2,3,4,1,5,1,4,5,2,88,,,,,
940 110006914414,w192267,940 110009538672,2549,No Shade,,5,5,8,6,,,5,6,,7,,29,,4,6,,,,5,1,2,25,4,,1,3,7,4,9,2,3,,9,8,6,,7,7,7,2,6,10,1,6,4,2,,3,,7,9,16,13,4,63,3,106,93,8,4,1,1,,1,,,,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940 110006914414,w192267,940 110009539709,W192166,No Shade,,16,8,11,2,,6,1,16,6,2,1,8,2,2,,4,8,87,23,2,3,9,,1,1,7,3,1,6,8,4,,4,,,,5,6,9,,6,24,8,2,9,1,1,5,,3,1,3,7,11,4,4,3,7,13,,3,13,,2,3,4,6,4,1,4,2,3,10,5,6,1,17,15,6,4,13,5,12,7,2,6,6,6,7,3,,1,1,2,10,6,7,5,18,1,1,32,12,2,8,4,11,3,6,6,21,4,5,,2,41,17,6,,,,,,,,,,
