Ram_EID,Ram_coller,Ewe_EID,Ewe_coller,Plot,14/2/2023 12:00,14/2/2023 16:00,14/2/2023 20:00,15/2/2023 00:00,15/2/2023 04:00,15/2/2023 08:00,15/2/2023 12:00,15/2/2023 16:00,15/2/2023 20:00,16/2/2023 00:00,16/2/2023 04:00,16/2/2023 08:00,16/2/2023 12:00,16/2/2023 16:00,16/2/2023 20:00,17/2/2023 00:00,17/2/2023 04:00,17/2/2023 08:00,17/2/2023 12:00,17/2/2023 16:00,17/2/2023 20:00,18/2/2023 00:00,18/2/2023 04:00,18/2/2023 08:00,18/2/2023 12:00,18/2/2023 16:00,18/2/2023 20:00,19/2/2023 00:00,19/2/2023 04:00,19/2/2023 08:00,19/2/2023 12:00,19/2/2023 16:00,19/2/2023 20:00,20/2/2023 00:00,20/2/2023 04:00,20/2/2023 08:00,20/2/2023 12:00,20/2/2023 16:00,20/2/2023 20:00,21/2/2023 00:00,21/2/2023 04:00,21/2/2023 08:00,21/2/2023 12:00,21/2/2023 16:00,21/2/2023 20:00,22/2/2023 00:00,22/2/2023 04:00,22/2/2023 08:00,22/2/2023 12:00,22/2/2023 16:00,22/2/2023 20:00,23/2/2023 00:00,23/2/2023 04:00,23/2/2023 08:00,23/2/2023 12:00,23/2/2023 16:00,23/2/2023 20:00,24/2/2023 00:00,24/2/2023 04:00,24/2/2023 08:00,24/2/2023 12:00,24/2/2023 16:00,24/2/2023 20:00,25/2/2023 00:00,25/2/2023 04:00,25/2/2023 08:00,25/2/2023 12:00,25/2/2023 16:00,25/2/2023 20:00,26/2/2023 00:00,26/2/2023 04:00,26/2/2023 08:00,26/2/2023 12:00,26/2/2023 16:00,26/2/2023 20:00,27/2/2023 00:00,27/2/2023 04:00,27/2/2023 08:00,27/2/2023 12:00,27/2/2023 16:00,27/2/2023 20:00,28/2/2023 00:00,28/2/2023 04:00,28/2/2023 08:00,28/2/2023 12:00,28/2/2023 16:00,28/2/2023 20:00,1/3/2023 00:00,1/3/2023 04:00,1/3/2023 08:00,1/3/2023 12:00,1/3/2023 16:00,1/3/2023 20:00,2/3/2023 00:00,2/3/2023 04:00,2/3/2023 08:00,2/3/2023 12:00,2/3/2023 16:00,2/3/2023 20:00,3/3/2023 00:00,3/3/2023 04:00,3/3/2023 08:00,3/3/2023 12:00,3/3/2023 16:00,3/3/2023 20:00,4/3/2023 00:00,4/3/2023 04:00,4/3/2023 08:00,4/3/2023 12:00,4/3/2023 16:00,4/3/2023 20:00,5/3/2023 00:00,5/3/2023 04:00,5/3/2023 08:00,5/3/2023 12:00,5/3/2023 16:00,5/3/2023 20:00,6/3/2023 00:00,6/3/2023 04:00,6/3/2023 08:00,6/3/2023 12:00,6/3/2023 16:00,6/3/2023 20:00,7/3/2023 00:00,7/3/2023 04:00,7/3/2023 08:00,7/3/2023 12:00,7/3/2023 16:00,7/3/2023 20:00
940 110007343296,w897,940 110009539564,o41,No Shade,,3,13,3,12,7,22,4,2,28,2,4,,2,3,9,11,20,,2,5,3,,1,11,,10,13,5,14,4,11,7,9,5,4,5,3,9,6,8,8,3,,8,4,2,13,7,7,5,10,3,7,4,3,8,8,5,3,,2,3,2,4,1,8,2,1,7,2,1,7,3,4,11,,13,4,5,11,3,9,7,3,3,11,4,3,,,2,2,5,2,8,3,1,9,6,1,2,12,3,4,13,11,3,5,3,1,13,2,3,1,2,9,79,,,,,,,,,,,
940 110007343296,w897,940 110012567439,3797,No Shade,1,4,3,,4,1,1,1,10,10,2,,6,,11,7,2,1,8,7,13,5,9,4,13,8,12,7,22,8,1,7,16,4,2,2,9,4,6,33,7,8,3,8,4,,2,1,1,1,4,8,11,5,8,2,7,7,5,1,5,7,12,84,13,2,2,2,7,8,4,7,,1,3,6,5,13,4,4,4,4,2,2,2,6,18,28,10,20,17,3,4,2,14,19,3,3,8,4,7,6,1,16,5,7,2,6,4,5,9,8,3,5,,2,20,5,42,3,3,12,,,,,,,
940 110007343296,w897,940 110006719998,2598,No Shade,,2,9,6,25,5,,1,12,7,4,,,,,2,1,1,,2,2,8,,,,,6,8,4,16,1,,21,21,3,7,2,6,21,12,4,5,3,3,1,4,,,,5,2,40,7,6,6,,3,2,1,10,1,,6,3,2,1,,2,1,5,2,3,6,1,5,6,2,12,11,6,11,3,4,2,,,2,6,3,,,2,12,13,,12,1,4,5,3,,,1,3,4,5,4,1,,5,4,6,31,,1,2,9,53,9,4,,3,,,,,,,
940 110007343296,w897,940 110012565646,w1578,No Shade,,2,12,15,9,,7,,3,12,16,29,22,35,8,10,1,,10,9,12,20,12,,29,16,10,25,6,20,15,1,8,13,1,4,1,13,16,15,3,13,4,9,11,3,6,,17,4,2,6,3,5,6,11,6,9,7,4,2,4,2,5,8,3,23,8,15,13,6,6,21,1,9,23,18,6,20,49,12,8,11,,34,19,7,9,5,20,18,6,4,4,5,2,10,8,10,15,2,11,5,,27,3,4,,9,7,7,15,4,51,2,4,7,7,6,20,32,9,,,,,,,
940 110007343296,w897,940 110009541075,W1552,No Shade,,14,8,7,5,3,2,,3,2,2,6,25,5,4,3,3,7,5,16,15,10,8,3,2,5,9,3,18,12,,9,5,16,7,1,6,7,11,10,10,5,2,13,1,4,2,,4,12,19,5,10,1,12,17,4,8,7,4,1,4,4,,1,7,2,4,10,2,7,2,1,4,8,13,4,10,5,7,7,2,3,4,1,3,13,7,3,,2,1,1,7,1,,5,10,10,6,3,13,4,7,9,1,,13,8,2,22,5,8,5,12,3,26,6,8,10,8,17,,,,,,,
940 110007343296,w897,940 110012567023,2512,No Shade,,6,4,4,9,6,6,1,5,5,1,27,2,5,1,6,2,8,39,16,24,4,,13,12,2,11,27,2,2,1,23,4,10,1,15,7,,4,1,2,13,4,9,6,1,7,5,10,1,4,20,15,5,17,2,23,,3,1,23,5,12,13,1,1,9,11,5,12,5,31,28,20,1,2,2,12,8,23,8,23,21,15,16,23,11,23,,8,12,13,9,8,5,6,19,2,10,4,8,31,10,11,4,6,8,24,5,11,5,4,4,10,61,3,22,5,78,3,13,12,,,,,,,
940 110007343296,w897,940 110012566899,Y488,No Shade,1,3,1,2,2,,3,,9,23,,,5,1,,3,1,1,5,2,6,12,2,10,10,,7,4,6,7,4,3,1,3,2,1,5,2,1,17,8,2,4,1,2,5,12,1,,11,2,6,2,27,14,3,4,3,,9,8,5,4,4,9,4,23,6,26,5,3,10,12,5,3,54,13,43,24,7,7,3,3,4,3,,,7,2,,13,12,,,2,2,4,,6,3,1,1,3,2,6,,4,,1,5,11,3,4,1,8,3,7,1,13,92,2,3,,,,,,,
940 110007343296,w897,940 110006720451,2584,No Shade,,3,7,5,2,11,,4,16,16,3,3,6,,1,4,5,11,4,9,10,4,,1,9,5,7,12,12,13,17,9,7,8,27,10,4,3,9,4,8,27,2,,4,10,3,1,1,3,1,4,7,7,,7,1,1,3,4,5,1,2,6,2,2,1,21,5,8,1,18,10,2,22,8,18,50,11,10,38,7,17,6,3,9,4,4,1,6,5,4,2,11,4,2,5,1,8,14,12,6,,,7,5,3,2,3,13,5,5,2,,,,,,,,,,,,,,,,
940 110007343296,w897,940 110012566754,w9283,No Shade,,1,6,3,,,,1,3,1,1,1,16,,5,14,5,,13,1,6,5,9,6,7,9,11,7,4,8,5,5,5,14,1,20,9,4,10,3,12,7,13,2,1,,,5,7,1,12,3,6,3,3,7,7,3,4,,6,6,7,1,35,6,24,14,5,6,3,4,3,4,11,3,2,7,2,4,4,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940 110007343296,w897,940 110012553844,w192051,No Shade,,3,1,,4,8,12,1,1,1,3,6,8,,10,8,,13,31,5,5,7,19,,15,4,16,10,3,12,5,4,4,3,4,6,31,13,13,5,8,12,2,4,,5,7,2,5,17,6,7,5,8,1,2,4,3,9,4,10,5,12,6,6,4,1,3,17,6,1,8,5,,4,1,2,4,18,10,11,4,6,9,11,12,9,7,7,20,21,30,42,30,,,3,5,12,3,8,15,29,23,2,7,7,4,14,6,3,6,5,35,29,31,10,1,1,19,19,48,,,,,,,
940 110007343296,w897,940 110012554559,2429,No Shade,1,7,4,5,3,,2,,6,13,4,2,12,,8,2,2,2,11,2,7,5,18,2,9,3,4,3,10,8,8,10,25,6,2,7,11,6,7,16,12,9,6,2,8,5,4,2,9,7,15,6,8,,19,4,22,6,5,,10,5,7,46,10,3,14,12,15,23,13,2,,,7,11,5,4,3,5,7,16,6,1,,6,4,6,2,15,6,1,2,,4,4,1,2,6,2,2,5,13,6,3,12,2,2,3,7,5,10,8,1,2,9,12,3,61,8,4,9,,,,,,,
940 110007343296,w897,940 110009421856,w192145,No Shade,,1,8,5,1,2,1,2,1,2,3,,2,,3,5,3,4,9,3,9,4,,2,14,7,11,15,5,16,23,9,2,17,3,2,1,10,3,26,4,13,5,4,4,11,22,15,12,8,3,,3,4,18,11,,2,5,2,3,12,10,3,9,6,12,3,9,7,20,4,9,1,12,2,4,5,11,4,6,15,15,7,24,4,10,5,1,3,11,7,6,1,4,3,6,3,31,6,1,22,5,5,4,2,7,26,4,7,6,15,4,2,13,3,9,7,2,8,7,8,,,,,,,
940 110007343296,w897,940 110009539365,2988,No Shade,,2,4,5,,7,5,,2,16,3,8,4,1,12,10,2,7,5,3,23,5,19,4,20,7,11,11,9,4,5,12,8,3,14,23,4,2,4,35,27,39,49,63,2,5,,4,4,2,18,3,,4,2,3,3,7,2,2,24,4,5,12,4,2,4,10,6,8,,9,8,1,9,4,1,5,13,1,3,23,3,17,6,14,2,16,5,18,6,,4,3,4,7,1,11,8,2,13,6,25,4,10,4,11,,10,7,3,4,10,5,11,8,3,2,3,16,9,9,,,,,,,
940 110007343296,w897,940 110009540821,2542,No Shade,,5,3,7,1,4,6,1,2,4,2,4,1,,10,4,1,3,12,11,11,16,13,,,3,5,5,,3,9,3,5,16,2,9,3,9,17,2,4,1,1,,3,1,1,,9,3,8,2,6,7,3,4,6,3,,51,5,8,1,3,4,,4,20,3,3,4,7,3,19,10,22,4,7,3,1,10,66,13,1,,9,4,4,2,14,17,1,1,13,10,3,5,5,5,6,,4,2,5,4,28,25,2,6,32,4,5,4,4,7,3,,,,,,,,,,,,,
940 110007343296,w897,940 110009422827,2450,No Shade,,4,3,2,3,5,,3,5,5,2,17,4,4,5,2,2,3,6,,7,7,3,3,5,3,4,14,7,32,5,100,38,29,31,7,4,1,7,6,1,4,19,1,3,16,,1,32,7,8,5,4,8,17,42,1,2,3,8,,5,25,6,1,9,5,5,4,25,1,10,1,4,27,12,11,3,5,9,6,22,4,2,1,5,5,4,3,7,2,,12,5,4,4,2,5,13,6,10,7,5,7,6,1,2,10,1,6,7,6,4,26,3,8,12,6,22,11,13,,,,,,,,
940 110007343296,w897,940 110006544572,2617,No Shade,,2,13,8,10,,1,2,5,6,7,2,23,1,4,9,8,,,8,15,2,3,1,6,7,7,9,15,6,5,16,2,6,3,3,8,5,9,2,1,6,10,1,2,4,,10,4,1,7,1,2,1,7,,4,7,8,32,7,153,70,46,27,3,14,3,3,8,,4,4,1,1,6,3,1,3,6,7,17,15,,1,7,13,6,14,1,12,2,14,10,2,1,8,3,4,8,11,7,1,3,36,10,13,15,6,5,3,4,8,,,9,2,5,3,5,2,8,,,,,,,
940 110007343296,w897,940 110009540303,Y1115,No Shade,,6,3,13,3,1,4,,4,,5,1,10,1,3,7,10,5,5,12,5,1,2,,12,1,23,12,4,2,8,39,80,39,74,1,25,7,5,9,10,2,5,30,1,1,1,2,1,6,15,5,6,38,4,1,3,,5,9,23,8,8,4,4,2,5,8,7,9,2,,7,12,4,5,12,7,3,4,4,14,13,12,5,18,21,14,5,6,14,11,15,23,3,2,2,16,4,7,13,7,10,9,3,8,8,2,2,2,6,7,16,8,5,40,4,1,14,6,13,6,,,,,,,
940 110007343296,w897,940 110012566852,2896,No Shade,,1,10,9,2,,3,,13,8,27,6,1,5,2,6,3,2,11,7,16,3,,1,3,2,9,14,6,9,11,4,10,8,2,3,2,13,6,8,5,11,13,3,7,2,3,3,5,,11,6,9,6,8,10,4,33,7,10,5,6,28,6,4,2,,16,18,8,4,3,8,4,4,13,1,5,5,2,4,26,17,3,2,5,8,8,3,40,70,19,10,4,1,3,1,4,3,7,8,6,4,,3,4,2,9,2,2,4,8,10,6,14,4,4,4,3,10,21,8,,,,,,,
940 110007343296,w897,940 110009539590,2471,No Shade,2,13,7,14,3,2,,,5,3,32,5,1,5,10,5,1,23,,8,24,4,2,4,3,12,14,5,5,5,5,9,5,13,17,10,2,4,9,27,3,12,10,6,,3,2,4,6,2,5,20,33,3,15,1,17,3,4,2,3,3,42,6,23,7,2,24,11,13,3,11,4,20,67,12,4,6,5,4,10,10,10,3,,14,4,3,4,15,1,3,10,16,1,6,1,3,5,6,18,8,,8,4,3,12,3,2,13,7,19,1,1,6,8,5,1,5,3,14,12,,,,,,,
940 110007343296,w897,940 110006543923,2035,No Shade,,3,8,3,1,1,3,3,9,2,10,6,22,3,5,5,6,21,17,6,7,39,9,8,11,7,11,7,13,3,2,9,15,11,3,4,22,11,18,26,23,6,14,1,4,9,4,2,3,6,44,2,10,8,9,14,53,12,16,15,,8,15,10,27,8,30,4,13,31,4,3,4,16,3,5,2,2,,14,3,9,5,2,,15,15,12,13,15,2,4,2,3,8,2,1,4,9,16,5,5,1,7,8,5,15,6,11,2,5,3,3,,2,16,8,4,23,10,5,10,,,,,,,
940 110007343296,w897,940 110012565605,w192212,No Shade,,4,8,5,,,5,1,5,12,2,7,14,3,11,7,3,1,5,5,13,29,170,205,102,112,19,23,7,22,22,5,11,3,7,3,6,6,27,6,7,5,13,1,8,7,4,1,2,11,3,7,6,8,24,22,5,3,1,4,15,3,21,84,13,17,10,12,15,4,17,25,17,6,4,6,8,9,7,6,11,7,7,,21,,7,4,14,1,2,6,8,13,4,10,1,6,8,8,7,10,6,8,5,7,9,2,7,25,6,3,9,,25,6,12,,,,,,,,,,,,
940 110007343296,w897,940 110009538728,2611,No Shade,,3,3,9,4,7,5,6,5,4,7,6,8,3,14,8,1,3,2,7,8,5,4,,4,14,17,12,12,5,,19,16,11,9,,15,4,5,10,3,5,7,4,23,7,27,7,1,6,3,37,10,,16,1,4,27,7,4,2,3,6,9,13,11,6,10,9,3,6,6,7,109,37,29,54,34,5,3,17,5,15,2,8,5,10,8,9,1,1,14,6,5,17,15,,,33,11,8,6,7,4,8,7,11,4,6,10,6,16,3,4,8,5,5,21,9,,,,,,,,,,
940 110007343296,w897,940 110009539538,3745,No Shade,,24,5,22,23,3,1,,11,9,1,10,13,3,6,8,,22,5,1,12,,,3,7,3,10,7,11,6,15,4,14,14,32,4,10,2,18,7,6,14,4,10,2,9,6,1,21,1,4,5,12,6,11,7,5,3,10,9,12,4,14,5,6,9,5,7,8,8,4,11,1,30,5,9,12,8,8,11,9,4,7,5,5,13,5,8,3,5,18,2,8,8,4,3,13,7,10,1,13,5,2,2,,10,7,12,13,9,8,7,7,5,10,7,11,12,5,7,8,,,,,,,,
940 110007343296,w897,940 110006719959,2946,No Shade,,3,3,4,7,1,10,2,,5,6,17,3,3,21,6,14,31,10,3,5,12,2,17,24,9,13,29,14,23,6,15,6,10,10,3,,5,19,12,5,7,27,3,3,7,2,4,3,4,3,3,5,4,7,1,5,20,10,8,1,4,11,5,3,2,,5,14,4,3,9,2,1,15,5,1,19,13,5,17,5,14,,,13,6,5,9,3,,17,3,17,4,7,,9,7,12,3,3,,6,9,19,17,,,4,16,7,16,,,,,,,,,,,,,,,,
940 110007343296,w897,940 110009538594,2576,No Shade,,5,5,5,5,2,5,2,,,5,1,10,1,8,7,8,21,23,18,3,3,,7,5,5,4,6,4,11,5,16,5,18,2,4,9,12,6,10,5,20,8,2,7,10,2,6,3,18,1,26,5,56,17,5,12,38,3,,7,5,9,10,13,3,5,4,1,6,7,2,21,3,3,7,20,4,4,5,28,7,9,7,3,8,3,14,4,6,11,,2,5,1,2,10,3,5,6,9,10,2,10,11,5,4,,,20,3,10,,,,,,,,,,,,,,,,,
940 110007343296,w897,940 110006720550,2525,No Shade,,14,6,15,5,,1,3,15,8,,2,,2,6,4,3,2,10,3,6,55,4,,4,3,13,7,11,10,7,12,20,6,4,2,6,3,8,8,2,14,7,7,19,8,3,6,3,,8,19,10,2,11,,4,14,4,,,5,7,2,4,9,2,2,12,7,6,1,5,15,10,7,10,3,11,9,8,3,4,,,7,6,9,7,9,,2,3,13,2,1,,1,13,31,20,6,9,3,9,11,7,8,11,4,3,12,7,1,1,7,1,,,,,,,,,,,,
940 110007343296,w897,940 110006720713,2519,No Shade,,7,7,1,4,1,1,2,13,4,2,,4,,8,7,3,11,6,6,6,13,3,5,12,6,16,3,2,13,9,2,7,13,2,3,11,1,10,9,2,41,17,11,7,8,3,5,24,1,10,4,7,4,3,2,12,3,2,4,8,8,11,28,208,211,2,23,12,9,3,4,9,8,8,5,8,15,18,2,5,6,6,17,3,6,8,5,4,15,6,4,16,8,6,3,1,6,8,11,3,10,24,13,5,,8,4,7,14,,9,6,14,30,4,5,11,69,8,16,20,,,,,,,
940 110007343296,w897,940 110009540288,2406,No Shade,,8,5,9,4,1,,4,20,7,3,2,3,4,6,3,3,,1,,6,5,3,,6,6,6,16,1,3,2,10,14,7,3,1,5,9,4,27,13,12,4,4,9,2,2,4,1,11,,3,1,,3,27,1,7,8,4,13,4,6,11,1,4,10,2,5,7,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940 110007343296,w897,940 110012567072,2952,No Shade,,3,5,4,2,,,1,2,5,3,4,,,5,5,3,,1,2,4,8,1,6,10,1,10,12,13,7,7,3,6,4,23,,7,5,4,1,6,13,11,4,13,7,2,,1,,3,6,31,94,16,8,11,2,3,5,5,2,4,3,3,4,35,2,1,5,7,4,8,2,1,7,2,7,10,7,,9,4,10,12,4,1,1,6,16,14,1,,7,1,4,,6,1,5,10,9,2,1,4,6,6,1,14,4,6,8,9,6,29,3,5,1,68,6,49,7,,,,,,,
940 110007343296,w897,940 110006544542,3735,No Shade,,8,7,8,,1,7,3,1,5,1,12,24,1,5,4,,5,8,11,5,3,3,9,195,210,69,44,21,13,9,4,5,23,,8,28,9,24,6,4,4,7,7,10,3,3,4,25,,6,2,8,,31,,6,3,4,1,3,2,13,5,10,2,7,5,1,11,5,5,13,8,2,21,6,5,5,11,8,7,4,8,13,9,2,13,4,3,11,2,6,16,,4,3,9,5,34,2,5,14,5,3,5,12,10,28,6,3,3,7,14,14,32,23,4,2,12,32,10,,,,,,,
940 110007343296,w897,940 110009539082,3798,No Shade,,6,8,9,4,,1,,4,3,6,13,,7,5,4,6,20,103,163,24,47,,4,8,4,14,23,7,4,6,8,27,11,1,4,4,1,25,12,3,1,7,18,3,8,5,7,,13,11,5,5,,4,3,9,25,6,1,12,3,21,27,7,7,,1,15,8,8,3,13,8,5,14,6,8,2,9,11,5,17,,10,2,6,2,9,8,21,8,6,15,3,3,9,2,12,4,27,5,10,3,18,8,5,12,2,8,12,4,3,31,,7,1,,,,,,,,,,,,
940 110007343296,w897,940 110006544245,2929,No Shade,,5,9,16,5,3,2,1,1,3,2,5,9,46,5,15,23,20,6,28,11,3,1,,1,3,21,11,8,13,2,11,7,6,14,6,15,4,11,17,17,3,10,2,17,3,2,,19,12,13,4,1,3,10,,,5,6,10,,4,10,8,6,1,1,3,6,3,3,8,,4,9,18,14,9,3,,7,4,7,2,7,5,15,14,5,8,8,2,12,11,19,5,16,2,11,8,11,15,4,5,10,4,3,6,2,7,4,3,7,5,1,35,16,37,8,17,17,9,,,,,,,
940 110007343296,w897,940 110009539736,y1110,No Shade,1,,9,9,9,,4,1,12,12,1,3,6,1,5,11,3,9,11,12,10,8,4,,20,9,9,18,15,2,93,43,13,9,13,7,9,10,20,9,8,21,42,13,3,3,4,6,3,2,10,3,7,5,11,18,5,6,10,11,29,5,4,6,3,1,4,9,3,2,11,7,12,5,5,22,8,10,11,11,7,12,16,3,4,8,6,4,6,15,31,7,6,11,8,5,5,15,9,1,15,11,7,16,5,52,6,9,6,4,13,6,3,18,26,33,4,6,33,15,3,11,,,,,,,
940 110007343296,w897,940 110009422306,2415,No Shade,,4,10,4,3,,4,1,13,6,1,2,,4,7,13,1,4,3,11,12,10,8,,3,1,4,13,6,5,6,9,3,54,51,7,1,16,12,4,7,3,12,1,1,3,2,,,2,4,,1,1,,1,,3,1,4,3,4,1,2,8,1,6,1,3,6,24,10,14,1,6,18,21,4,2,1,5,4,3,1,1,1,11,2,6,1,1,4,3,2,10,,1,1,9,9,8,1,,2,5,4,1,,1,5,2,3,7,,2,3,18,3,11,2,,7,,,,,,,
940 110007343296,w897,940 110009422259,2652,No Shade,,14,8,4,3,,3,4,20,8,3,11,2,,6,13,2,3,2,32,15,7,40,8,11,2,8,20,6,17,10,7,9,34,12,1,,3,16,10,5,4,5,3,3,30,3,,13,9,14,26,4,17,4,6,4,11,10,5,7,6,30,15,15,2,2,23,19,36,5,15,4,46,4,26,7,7,13,6,3,4,12,28,,2,3,4,5,12,,3,6,8,6,10,17,8,30,6,1,8,,4,5,3,3,,7,2,7,11,32,5,,5,9,10,4,,,,,,,,,,
940 110007343296,w897,940 110009538695,W192286,No Shade,,2,6,6,4,5,1,,10,4,2,20,10,5,9,5,,2,,3,7,33,8,,,3,17,10,9,3,27,20,19,11,22,2,4,33,4,7,4,11,4,5,3,19,9,2,3,19,3,22,10,15,6,4,13,4,1,3,4,4,19,13,8,54,159,141,112,62,33,9,6,7,5,17,11,20,23,7,3,3,8,4,1,14,17,16,4,12,8,2,10,7,7,2,2,3,12,35,10,8,13,10,9,5,6,35,4,18,10,9,16,1,4,6,32,4,3,6,8,,,,,,,,
940 110007343296,w897,940 110009538619,W952,No Shade,,3,6,5,,6,,,13,7,16,28,7,9,10,15,3,6,5,7,27,14,,28,1,4,16,11,5,17,28,7,31,8,2,10,2,,7,11,5,12,8,,18,7,29,2,4,,12,9,9,5,,,2,4,5,1,2,5,9,9,3,1,3,3,8,16,7,3,3,4,5,16,1,10,23,5,4,1,5,7,,5,6,3,12,1,7,5,5,18,5,8,1,2,11,15,23,1,,1,12,6,13,1,8,,,,,,,,,,,,,,,,,,,,
940 110007343296,w897,940 110009422194,2405,No Shade,,2,10,7,9,8,4,3,16,10,2,15,12,,7,7,6,14,10,9,5,3,1,4,14,6,12,16,12,1,7,8,12,12,3,1,4,2,4,5,7,1,12,4,3,7,20,3,3,3,1,3,7,4,13,10,48,85,149,58,25,11,3,3,1,5,3,2,5,3,11,3,3,4,30,17,10,10,16,5,1,15,11,7,7,,,4,6,7,18,,3,1,19,3,,7,5,3,7,2,4,8,10,13,7,,4,6,2,9,1,12,10,4,,,,,,,,,,,,,
940 110007343296,w897,940 110009540560,W192436,No Shade,,2,14,8,2,,,,8,4,32,3,,1,3,9,2,13,26,2,10,17,2,28,10,2,12,23,14,17,10,12,5,39,203,154,84,96,31,10,6,11,8,5,7,1,3,2,17,1,8,20,8,9,3,3,5,2,1,1,7,3,14,53,5,1,16,8,19,7,10,3,7,2,4,7,12,19,6,22,11,5,5,2,22,12,14,12,4,1,,2,39,20,1,7,1,1,7,6,7,1,4,,2,1,5,,3,6,7,4,10,12,4,4,14,3,7,4,,4,,,,,,,
940 110007343296,w897,940 110009540428,W1698,No Shade,,6,9,7,5,2,4,2,30,9,9,3,3,2,10,8,2,,9,24,20,28,7,2,,9,10,14,8,8,2,22,4,16,6,14,7,16,10,47,11,6,16,3,9,2,12,2,1,,8,,8,3,18,5,4,1,3,8,,3,24,21,8,4,,,3,19,1,2,,,3,,,1,2,,2,,2,,,,,1,,1,1,2,,1,,,1,,2,6,2,,,,29,,2,,,1,,2,3,,1,2,2,,,,,,,,,,,,
940 110007343296,w897,940 110012566439,2475,No Shade,,5,1,,2,1,1,1,1,4,1,2,2,3,12,3,2,4,3,5,9,11,4,,2,3,11,14,9,3,7,1,5,3,21,5,1,7,9,1,20,4,5,6,13,10,14,1,,1,4,15,1,11,,11,7,5,6,5,,6,7,20,8,,,8,3,15,2,14,11,2,4,20,7,19,13,2,6,4,11,10,1,6,2,23,4,6,1,2,7,7,7,2,2,3,21,14,6,2,2,5,8,6,6,3,,6,14,17,13,3,2,7,36,6,6,5,,8,,,,,,,
940 110007343296,w897,940 110006543874,Y499,No Shade,4,18,8,14,7,5,5,5,6,4,2,3,,1,6,5,5,9,6,8,21,4,13,5,39,2,7,14,6,3,2,5,8,7,1,13,7,11,20,31,4,2,2,10,6,5,12,,6,9,7,40,8,1,2,2,13,,3,6,11,6,16,5,4,5,5,5,6,,2,8,8,6,12,,3,3,12,15,,4,5,15,40,3,5,12,10,3,14,2,2,12,2,9,4,17,3,8,13,16,6,13,11,31,5,3,21,11,5,12,6,9,10,,,,,,,,,,,,,,
940 110007343296,w897,940 110006544250,Y1018,No Shade,,3,6,3,6,,4,2,5,1,6,1,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,3,1,,4,7,1,2,,2,1,1,2,9,5,11,4,7,,15,1,2,,,2,4,5,5,1,8,3,7,11,9,15,8,16,6,6,3,8,2,9,20,4,3,7,7,3,4,3,3,8,6,23,2,3,7,2,13,3,6,3,14,7,3,2,25,6,9,4,,,,,,,,,,,
940 110007343296,w897,940 110009541648,2664,No Shade,,4,9,9,5,4,4,1,2,4,1,13,1,,10,4,1,24,3,3,18,17,6,2,6,7,16,10,9,16,13,12,15,26,3,2,6,10,11,23,7,16,10,1,11,6,6,,,3,6,10,13,10,24,6,81,27,28,2,25,5,11,10,13,13,15,6,10,3,2,5,13,8,1,4,5,4,5,3,9,5,8,12,5,3,11,14,8,1,1,6,1,5,10,3,6,8,8,5,8,21,4,3,9,19,24,6,3,6,11,4,18,32,10,7,9,10,4,15,,20,,,,,,,
940 110007343296,w897,940 110009541057,w192346,No Shade,,1,5,10,3,13,13,5,13,7,4,11,5,,8,2,3,5,8,7,4,19,,12,,1,11,32,7,10,20,11,2,18,4,2,,3,7,14,,13,6,1,1,2,,1,13,,7,17,8,2,7,,2,7,11,3,,2,6,9,14,1,6,4,12,12,5,9,8,7,4,1,2,1,10,6,11,3,3,2,,,10,30,13,4,3,7,1,14,8,6,4,10,5,6,16,2,10,1,3,6,1,3,13,36,4,,7,5,4,4,31,12,2,12,,,,,,,,,
940 110007343296,w897,940 110009538428,3721,No Shade,,9,13,10,,2,6,2,4,10,8,8,11,12,3,23,79,20,2,7,16,5,,1,8,14,7,22,10,11,4,7,5,10,7,8,2,6,5,2,13,11,2,4,6,5,4,1,4,7,1,4,5,15,4,18,8,17,10,,11,8,7,5,7,4,4,1,6,4,3,7,2,2,6,2,2,24,3,13,8,8,18,3,24,1,8,5,8,5,18,5,3,8,5,2,5,2,10,7,15,20,35,6,5,7,1,11,6,8,15,23,9,46,13,6,15,119,6,11,41,6,,,,,,,
940 110007343296,w897,940 110012567361,2577,No Shade,,3,6,8,5,1,5,3,15,5,13,8,48,173,89,10,5,26,6,2,10,14,5,,,,15,20,7,15,1,8,10,7,,10,5,4,9,7,16,4,1,9,15,2,7,1,,14,17,5,2,6,19,2,4,3,4,12,12,3,4,7,3,2,,2,6,3,4,10,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940 110007343296,w897,940 110012554703,2632,No Shade,,3,4,6,6,3,5,,8,4,4,9,5,2,7,3,2,15,11,21,5,7,2,5,15,3,11,24,7,8,19,17,11,14,10,20,2,,15,9,10,3,19,28,2,2,1,,9,2,4,6,4,6,2,22,5,3,2,2,12,2,5,1,4,1,6,1,4,3,4,18,77,68,35,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
