Ram_EID,Ram_coller,Ewe_EID,Ewe_coller,Plot,14/2/2024 12:00,14/2/2024 16:00,14/2/2024 20:00,15/2/2024 00:00,15/2/2024 04:00,15/2/2024 08:00,15/2/2024 12:00,15/2/2024 16:00,15/2/2024 20:00,16/2/2024 00:00,16/2/2024 04:00,16/2/2024 08:00,16/2/2024 12:00,16/2/2024 16:00,16/2/2024 20:00,17/2/2024 00:00,17/2/2024 04:00,17/2/2024 08:00,17/2/2024 12:00,17/2/2024 16:00,17/2/2024 20:00,18/2/2024 00:00,18/2/2024 04:00,18/2/2024 08:00,18/2/2024 12:00,18/2/2024 16:00,18/2/2024 20:00,19/2/2024 00:00,19/2/2024 04:00,19/2/2024 08:00,19/2/2024 12:00,19/2/2024 16:00,19/2/2024 20:00,20/2/2024 00:00,20/2/2024 04:00,20/2/2024 08:00,20/2/2024 12:00,20/2/2024 16:00,20/2/2024 20:00,21/2/2024 00:00,21/2/2024 04:00,21/2/2024 08:00,21/2/2024 12:00,21/2/2024 16:00,21/2/2024 20:00,22/2/2024 00:00,22/2/2024 04:00,22/2/2024 08:00,22/2/2024 12:00,22/2/2024 16:00,22/2/2024 20:00,23/2/2024 00:00,23/2/2024 04:00,23/2/2024 08:00,23/2/2024 12:00,23/2/2024 16:00,23/2/2024 20:00,24/2/2024 00:00,24/2/2024 04:00,24/2/2024 08:00,24/2/2024 12:00,24/2/2024 16:00,24/2/2024 20:00,25/2/2024 00:00,25/2/2024 04:00,25/2/2024 08:00,25/2/2024 12:00,25/2/2024 16:00,25/2/2024 20:00,26/2/2024 00:00,26/2/2024 04:00,26/2/2024 08:00,26/2/2024 12:00,26/2/2024 16:00,26/2/2024 20:00,27/2/2024 00:00,27/2/2024 04:00,27/2/2024 08:00,27/2/2024 12:00,27/2/2024 16:00,27/2/2024 20:00,28/2/2024 00:00,28/2/2024 04:00,28/2/2024 08:00,28/2/2024 12:00,28/2/2024 16:00,28/2/2024 20:00,29/2/2024 00:00,29/2/2024 04:00,29/2/2024 08:00,29/2/2024 12:00,29/2/2024 16:00,29/2/2024 20:00,1/3/2024 00:00,1/3/2024 04:00,1/3/2024 08:00,1/3/2024 12:00,1/3/2024 16:00,1/3/2024 20:00,2/3/2024 00:00,2/3/2024 04:00,2/3/2024 08:00,2/3/2024 12:00,2/3/2024 16:00,2/3/2024 20:00,3/3/2024 00:00,3/3/2024 04:00,3/3/2024 08:00,3/3/2024 12:00,3/3/2024 16:00,3/3/2024 20:00,4/3/2024 00:00,4/3/2024 04:00,4/3/2024 08:00,4/3/2024 12:00,4/3/2024 16:00,4/3/2024 20:00,5/3/2024 00:00,5/3/2024 04:00,5/3/2024 08:00,5/3/2024 12:00,5/3/2024 16:00,5/3/2024 20:00,6/3/2024 00:00,6/3/2024 04:00,6/3/2024 08:00,6/3/2024 12:00,6/3/2024 16:00,6/3/2024 20:00,7/3/2024 00:00,7/3/2024 04:00,7/3/2024 08:00,7/3/2024 12:00
940 110007958008,w192415,940 110009539564,w192186,No Shade,,7,11,14,5,9,7,2,3,3,3,5,19,10,3,18,1,,13,,11,12,5,13,8,5,4,2,7,1,,3,13,4,8,13,12,7,1,3,9,6,18,19,20,17,6,22,10,11,23,31,13,3,9,7,16,15,9,3,23,7,21,8,9,1,1,3,8,2,,3,2,9,13,6,1,10,10,38,12,16,,8,12,7,6,12,,5,5,4,4,3,3,1,6,7,10,2,5,9,5,4,21,5,8,11,,9,12,9,5,7,15,16,14,40,25,20,6,2,17,7,,,,,,,,,
940 110007958008,w192415,940 110009541144,w1690,No Shade,,2,17,3,5,4,9,,2,1,2,6,5,6,4,12,3,,1,19,6,13,2,1,1,,5,6,9,,1,3,1,2,1,9,2,18,71,119,178,102,4,32,3,1,11,9,,9,18,,5,3,1,17,14,12,3,7,,15,24,8,30,1,8,21,21,24,2,2,1,6,4,14,2,14,4,4,,11,2,4,9,1,7,1,11,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940 110007958008,w192415,940 110012554425,2332,No Shade,,2,9,16,4,17,3,4,10,1,4,10,4,8,8,2,3,1,9,2,17,7,3,20,4,1,1,,8,8,5,3,2,14,5,9,5,5,11,1,18,55,64,17,19,3,4,9,2,15,3,14,3,9,13,3,3,13,9,14,10,,4,11,,3,,13,33,1,4,5,6,2,1,1,2,32,35,5,4,1,2,9,6,1,17,3,1,5,1,1,1,7,1,,7,1,7,6,2,2,19,1,12,24,7,9,9,18,1,4,15,11,39,6,22,1,3,6,36,3,20,1,,,,,,,,,
940 110007958008,w192415,940 110009539860,2981,No Shade,,,6,19,3,4,7,8,3,4,8,8,1,15,12,11,8,21,3,87,23,12,,8,,6,4,1,3,6,4,10,19,29,59,8,17,6,1,5,5,29,7,47,8,6,11,9,7,21,23,38,3,20,15,3,9,4,3,10,1,7,,8,9,,3,14,2,2,4,9,4,12,3,7,16,9,5,2,7,,1,6,12,4,2,,6,24,7,6,3,28,1,,4,1,5,6,8,5,30,12,17,3,6,6,23,9,4,15,11,13,12,21,14,,3,14,23,4,14,,,,,,,,,,
940 110007958008,w192415,940 110009540194,2997,No Shade,,2,7,4,7,23,6,4,3,2,2,2,1,2,7,2,8,1,10,3,2,13,2,1,30,4,6,7,8,,3,4,12,4,1,10,6,5,1,7,9,5,8,27,39,2,5,4,11,7,,5,5,3,2,2,3,2,,,6,3,2,7,3,1,1,7,2,3,,5,5,17,7,28,11,28,19,3,1,6,4,3,17,9,10,,,4,6,5,3,2,3,3,9,22,3,,4,8,19,6,21,7,5,8,3,18,13,8,2,4,7,18,16,2,3,23,3,2,32,7,,,,,,,,,
940 110007958008,w192415,940 110009540716,2385,No Shade,,1,4,4,12,11,8,7,3,23,1,12,11,,9,1,9,7,1,14,2,5,4,2,5,2,5,4,1,2,,6,9,9,3,3,5,2,3,2,16,10,5,6,16,2,5,11,20,2,1,3,11,7,2,26,106,6,6,35,60,2,15,9,3,1,1,3,2,4,3,9,3,24,26,7,14,1,4,3,3,1,,,5,3,3,,3,5,3,16,4,3,1,2,1,1,6,1,6,11,8,9,25,53,9,6,,5,9,11,10,3,3,13,8,15,,13,1,1,5,3,,,,,,,,,
940 110007958008,w192415,940 110012565654,2618,No Shade,,,6,18,26,4,2,2,,16,21,6,5,4,,2,2,13,29,4,28,10,6,6,4,4,,1,1,7,4,22,2,2,3,3,5,8,7,20,28,34,106,41,11,4,5,5,10,6,11,9,5,1,24,14,6,6,24,4,14,2,8,8,3,,,2,3,2,2,1,2,,8,1,1,2,28,23,25,60,12,10,3,6,7,6,5,4,2,4,57,1,9,2,9,5,12,2,9,1,2,11,4,5,3,14,10,3,1,3,16,2,6,23,6,9,27,6,14,,6,8,,,,,,,,,
940 110007958008,w192415,940 110009539817,2601,No Shade,,4,5,5,3,12,13,8,,,3,6,12,16,5,1,1,2,6,9,4,7,9,75,11,28,5,2,15,1,8,26,13,4,7,3,5,4,3,2,8,28,1,32,3,2,4,19,,3,14,8,51,6,7,3,2,2,6,1,5,3,1,2,3,6,5,8,,7,10,3,8,12,9,,4,,4,6,5,5,2,2,18,11,16,,4,6,8,6,1,,5,4,6,7,2,4,9,5,4,8,29,27,7,8,6,13,36,16,16,1,11,6,11,5,2,21,1,7,23,,,,,,,,,,
940 110007958008,w192415,940 110009539447,w192149,No Shade,,3,13,9,10,5,10,8,3,2,1,3,6,2,12,44,1,18,6,7,4,,2,9,18,5,,2,7,4,1,6,2,8,1,17,10,5,7,20,1,20,53,58,12,22,6,2,8,8,2,8,8,15,6,13,2,21,4,5,10,1,,2,2,,5,2,1,2,2,,7,3,,5,12,,1,7,38,2,3,12,7,4,3,1,22,65,150,156,119,66,5,,25,1,,6,4,2,15,7,12,6,6,1,5,5,8,3,3,2,14,6,8,6,7,6,10,7,11,25,,,,,,,,,
940 110007958008,w192415,940 110009540821,2352,No Shade,,1,5,4,5,13,21,1,6,13,4,6,2,3,7,10,7,7,9,13,8,2,1,8,3,8,6,,2,,3,4,3,7,5,14,3,6,8,9,,9,18,8,32,11,60,8,2,3,4,5,5,2,6,10,24,5,10,7,4,,5,2,5,2,5,1,6,,,8,3,14,5,,129,172,154,225,154,26,,1,22,8,8,,2,3,9,5,,,34,2,7,9,10,,,3,4,7,25,5,4,6,1,12,8,3,5,1,,4,12,38,11,10,9,8,10,4,,,,,,,,,
