Ram_EID,Ram_coller,Ewe_EID,Ewe_coller,Plot,14/2/2024 12:00,14/2/2024 16:00,14/2/2024 20:00,15/2/2024 00:00,15/2/2024 04:00,15/2/2024 08:00,15/2/2024 12:00,15/2/2024 16:00,15/2/2024 20:00,16/2/2024 00:00,16/2/2024 04:00,16/2/2024 08:00,16/2/2024 12:00,16/2/2024 16:00,16/2/2024 20:00,17/2/2024 00:00,17/2/2024 04:00,17/2/2024 08:00,17/2/2024 12:00,17/2/2024 16:00,17/2/2024 20:00,18/2/2024 00:00,18/2/2024 04:00,18/2/2024 08:00,18/2/2024 12:00,18/2/2024 16:00,18/2/2024 20:00,19/2/2024 00:00,19/2/2024 04:00,19/2/2024 08:00,19/2/2024 12:00,19/2/2024 16:00,19/2/2024 20:00,20/2/2024 00:00,20/2/2024 04:00,20/2/2024 08:00,20/2/2024 12:00,20/2/2024 16:00,20/2/2024 20:00,21/2/2024 00:00,21/2/2024 04:00,21/2/2024 08:00,21/2/2024 12:00,21/2/2024 16:00,21/2/2024 20:00,22/2/2024 00:00,22/2/2024 04:00,22/2/2024 08:00,22/2/2024 12:00,22/2/2024 16:00,22/2/2024 20:00,23/2/2024 00:00,23/2/2024 04:00,23/2/2024 08:00,23/2/2024 12:00,23/2/2024 16:00,23/2/2024 20:00,24/2/2024 00:00,24/2/2024 04:00,24/2/2024 08:00,24/2/2024 12:00,24/2/2024 16:00,24/2/2024 20:00,25/2/2024 00:00,25/2/2024 04:00,25/2/2024 08:00,25/2/2024 12:00,25/2/2024 16:00,25/2/2024 20:00,26/2/2024 00:00,26/2/2024 04:00,26/2/2024 08:00,26/2/2024 12:00,26/2/2024 16:00,26/2/2024 20:00,27/2/2024 00:00,27/2/2024 04:00,27/2/2024 08:00,27/2/2024 12:00,27/2/2024 16:00,27/2/2024 20:00,28/2/2024 00:00,28/2/2024 04:00,28/2/2024 08:00,28/2/2024 12:00,28/2/2024 16:00,28/2/2024 20:00,29/2/2024 00:00,29/2/2024 04:00,29/2/2024 08:00,29/2/2024 12:00,29/2/2024 16:00,29/2/2024 20:00,1/3/2024 00:00,1/3/2024 04:00,1/3/2024 08:00,1/3/2024 12:00,1/3/2024 16:00,1/3/2024 20:00,2/3/2024 00:00,2/3/2024 04:00,2/3/2024 08:00,2/3/2024 12:00,2/3/2024 16:00,2/3/2024 20:00,3/3/2024 00:00,3/3/2024 04:00,3/3/2024 08:00,3/3/2024 12:00,3/3/2024 16:00,3/3/2024 20:00,4/3/2024 00:00,4/3/2024 04:00,4/3/2024 08:00,4/3/2024 12:00,4/3/2024 16:00,4/3/2024 20:00,5/3/2024 00:00,5/3/2024 04:00,5/3/2024 08:00,5/3/2024 12:00,5/3/2024 16:00,5/3/2024 20:00,6/3/2024 00:00,6/3/2024 04:00,6/3/2024 08:00,6/3/2024 12:00,6/3/2024 16:00,6/3/2024 20:00,7/3/2024 00:00,7/3/2024 04:00,7/3/2024 08:00,7/3/2024 12:00
940 110007343058,w192408,940 110012564959,3735,Medium Shade,,,,,,21,6,,5,4,9,2,55,10,50,6,3,8,3,10,5,13,,7,11,,3,2,1,8,,,1,16,17,6,5,3,,11,,10,1,15,2,9,7,2,1,1,4,3,4,2,5,3,,6,1,6,,6,3,4,65,118,280,92,,11,4,,8,36,11,16,,,,,,,,,,,,30,38,20,,1,2,2,4,1,3,5,22,42,2,2,8,7,2,9,42,7,7,10,7,2,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110009538579,3755,Medium Shade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,2,5,1,2,4,4,1,4,,,,1,,4,4,2,12,1,1,6,22,5,1,1,4,29,27,4,13,,,,,,,,,,,,4,3,17,4,1,5,9,2,4,2,2,5,13,5,2,8,6,8,12,,5,19,7,11,3,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110019088481,w192206,Medium Shade,,,,,1,,4,5,4,3,,7,,1,7,5,2,5,3,,3,,,,3,1,3,8,2,11,13,5,4,2,,5,1,1,1,,,6,11,1,4,,5,1,1,2,3,3,4,4,7,5,,1,1,2,7,3,9,37,18,137,,28,6,4,8,8,48,,13,,,,,,,,,,,,,7,6,3,2,2,4,13,2,4,8,5,3,7,6,11,4,6,7,,,7,3,3,10,2,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110019092820,w766,Medium Shade,,,,,1,13,3,13,,3,9,8,,7,3,11,4,18,2,6,2,2,,2,1,3,3,3,2,4,3,5,2,,5,2,9,2,,1,1,4,1,6,1,4,6,6,8,5,16,4,34,4,1,7,1,13,4,3,12,14,9,16,5,2,3,11,,,2,2,31,47,2,5,,,,,,,,,,,,26,1,9,1,9,1,2,4,9,5,6,7,6,2,15,6,13,6,13,1,3,1,28,14,,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110009540164,3731,Medium Shade,,2,19,14,7,3,2,3,,8,5,10,4,2,10,,1,,2,1,1,46,58,11,3,2,13,17,11,4,,1,20,3,9,23,48,1,7,2,1,,7,10,16,34,9,,1,2,6,3,3,2,15,2,,,9,4,17,2,5,15,9,1,,10,43,1,2,1,15,5,,,,,,,,,,,,,,3,5,4,5,11,1,13,5,2,6,11,2,40,2,5,8,2,19,7,2,28,,30,2,1,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110009540965,w1659,Medium Shade,,2,,,,,9,35,15,17,41,32,1,41,,12,1,1,8,2,11,1,1,2,1,5,5,14,9,1,3,5,,6,1,5,7,4,2,,,,1,8,5,2,3,2,5,,7,5,6,4,6,6,2,1,3,12,7,2,19,,3,6,,6,7,,,3,12,56,14,4,,,,,,,,,,,,21,,3,2,,13,4,8,11,18,12,6,1,6,1,4,4,13,2,7,18,10,3,4,3,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110009530580,2386,Medium Shade,,3,21,15,,12,4,7,1,2,9,2,7,3,6,10,,5,1,,12,7,2,7,17,4,,5,,5,1,3,2,8,6,19,6,5,5,1,3,2,15,6,47,1,6,2,4,13,10,7,4,13,4,4,3,,8,,,4,6,7,4,1,,23,7,1,8,5,36,58,11,18,,,,,,,,,,,,12,58,6,1,7,10,3,1,9,9,7,8,5,29,5,2,7,10,4,8,18,15,24,18,1,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110019090786,4056,Medium Shade,,1,,,,3,2,7,4,5,1,4,6,1,6,7,6,,,7,6,2,6,,7,6,2,7,7,6,,8,17,5,3,5,7,2,,69,6,,3,4,2,14,10,5,5,1,24,29,2,8,1,3,21,1,9,15,4,20,6,2,4,2,,2,2,2,7,,12,1,9,9,,,,,,,,,,,,6,5,1,4,69,92,46,29,3,5,2,14,4,3,8,3,4,10,4,8,32,17,31,22,4,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110009422288,5426,Medium Shade,,2,9,11,2,,1,2,3,1,3,1,7,1,1,6,,3,2,48,10,2,8,27,1,2,16,7,2,,3,2,,8,4,,3,1,7,2,4,1,1,1,2,2,10,9,2,,5,7,,5,2,6,5,5,,3,,1,7,12,1,1,1,11,9,,16,24,17,67,8,,,,,,,,,,,,,5,2,2,5,3,3,6,2,2,5,4,2,11,12,6,1,7,3,3,3,7,3,16,4,,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110009540824,2377,Medium Shade,,9,,,3,2,3,2,,7,6,3,5,3,3,1,2,6,1,3,4,33,1,7,4,,1,1,2,5,8,,4,5,5,,,5,,3,3,1,1,10,3,4,2,4,4,2,,2,1,9,2,3,5,16,5,3,,8,,8,3,,,3,,3,3,,17,6,30,,,,,,,,,,,,,12,5,8,2,3,11,19,6,3,5,6,3,2,1,9,8,3,5,12,,7,2,16,32,2,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110012565625,w793,Medium Shade,,13,8,7,1,16,1,1,1,13,16,6,,9,3,,2,,17,12,4,4,4,,2,9,,9,2,7,4,3,6,1,,5,,4,6,,21,2,,13,4,8,,1,7,9,,9,1,10,2,,,5,25,2,22,6,4,11,4,2,6,13,3,13,13,,6,37,17,2,,,,,,,,,,,,4,,8,,1,2,33,3,5,6,3,4,5,4,2,7,4,28,7,4,5,,4,2,,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110009541056,2334,Medium Shade,,5,7,2,12,7,19,16,4,9,2,14,27,4,,4,,13,1,3,7,3,2,11,15,1,10,1,2,6,2,3,37,6,,12,3,2,4,3,1,4,17,23,,19,1,8,3,1,15,10,10,8,7,4,12,24,10,9,10,2,9,4,6,8,1,2,3,5,15,1,26,48,1,12,,,,,,,,,,,,8,1,6,12,9,8,4,3,5,4,3,13,31,36,6,7,1,5,3,3,11,3,17,1,2,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110009422162,2531,Medium Shade,,1,,,,6,6,1,1,10,2,3,3,4,31,12,32,1,14,8,9,5,1,4,12,53,26,17,10,11,4,1,4,11,5,4,5,1,6,3,,7,,4,3,5,1,7,1,7,3,6,10,4,7,2,8,,3,2,,1,3,7,4,6,,3,1,8,4,,7,59,52,12,,,,,,,,,,,,3,6,3,5,9,2,12,4,,4,7,7,1,3,2,2,5,,7,14,6,2,8,8,3,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110019088457,w1541,Medium Shade,,,,,72,65,85,84,65,7,3,4,1,2,4,15,39,,12,1,3,12,10,5,8,,,4,2,,10,16,,12,3,5,1,7,4,,8,2,1,1,1,4,1,2,2,4,5,3,1,6,,5,2,15,4,3,9,12,2,8,1,1,,,,1,4,,32,4,2,31,,,,,,,,,,,,4,9,6,2,4,8,,2,4,6,,4,7,2,3,3,2,5,14,3,29,2,10,4,,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110009541106,2039,Medium Shade,,2,4,6,8,13,2,2,1,2,3,2,12,8,8,7,2,4,16,3,,2,,7,12,6,,7,12,17,18,5,7,3,5,15,16,6,7,6,2,1,6,4,7,6,8,7,1,2,7,3,,5,8,11,7,4,2,6,,3,8,9,,6,,1,,,5,7,19,72,,13,,,,,,,,,,,,4,3,5,10,2,17,10,5,12,3,7,4,8,3,10,12,5,,4,3,18,2,8,3,2,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110012565629,2311,Medium Shade,,9,53,49,10,18,18,9,1,1,6,1,7,1,2,6,2,,2,2,1,1,2,,1,4,8,6,,,3,5,,4,1,5,,5,24,11,,,1,2,53,11,2,14,13,4,2,16,2,7,2,,2,14,9,,16,4,2,2,3,,12,11,4,4,1,2,17,42,75,10,,,,,,,,,,,,60,1,13,,1,4,6,5,9,5,,40,8,4,1,5,3,27,5,1,44,3,15,6,4,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110009421837,w1554,Medium Shade,,,12,11,4,2,10,6,,5,1,6,3,14,10,7,,21,29,4,8,13,,1,11,,1,2,2,2,2,1,,3,,2,17,2,,,,,2,7,,3,3,3,,6,3,14,,19,9,5,10,1,6,6,13,3,24,9,5,,,7,2,3,2,4,11,8,12,2,,,,,,,,,,,,4,,6,,8,4,30,2,4,12,2,14,1,,3,2,49,23,14,39,12,36,72,18,,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110009541060,2349,Medium Shade,,2,11,23,3,12,4,1,7,3,4,3,7,6,5,3,2,10,3,1,,1,8,16,16,2,12,13,66,7,1,2,4,8,31,7,,3,1,,6,2,8,5,18,45,19,15,10,7,7,13,4,6,20,11,6,2,7,4,,7,2,9,3,1,,21,34,128,189,122,15,40,37,8,,,,,,,,,,,,3,1,1,3,9,2,2,10,2,,8,4,3,7,4,3,,2,37,5,10,1,25,6,,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110009541300,2462,Medium Shade,,,,,,3,3,6,3,2,4,10,,2,7,7,6,1,,6,,4,4,3,4,,4,10,8,,2,5,4,2,4,9,2,,3,2,7,,1,9,1,5,1,3,3,7,18,1,8,9,14,82,204,29,8,12,3,3,8,14,3,2,14,2,24,3,7,2,58,15,5,1,,,,,,,,,,,,8,,2,3,6,7,2,4,1,3,1,2,8,4,5,5,6,8,16,22,25,3,10,10,,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110009540130,2685,Medium Shade,,7,9,35,4,17,,3,4,12,10,7,6,3,,15,1,4,6,3,,8,4,22,2,2,1,4,,3,2,2,32,33,2,12,1,14,3,1,3,3,2,8,8,3,6,11,22,6,7,13,51,23,12,11,3,7,,6,3,20,7,12,77,4,5,8,,8,12,,21,42,4,15,,,,,,,,,,,,9,,6,2,5,9,8,2,10,7,6,4,11,2,6,15,3,7,2,3,50,24,16,15,2,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110009538657,w767,Medium Shade,,10,58,17,47,27,16,6,1,4,1,7,9,6,1,2,,7,,9,2,1,3,10,3,2,2,9,5,3,27,2,5,9,,4,1,,1,11,,13,1,3,1,4,2,7,8,7,,8,4,1,20,8,2,,11,9,1,,3,1,,5,,,,59,4,14,12,67,19,,,,,,,,,,,,,3,8,2,,11,3,5,1,5,5,4,3,4,11,13,9,9,3,5,3,4,,27,46,,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110019091288,w1540,Medium Shade,,1,,,26,6,3,8,11,12,6,8,4,4,6,3,,4,1,2,1,1,,4,7,5,8,10,6,7,4,13,3,11,1,2,,2,12,4,2,,8,7,2,5,5,3,6,9,12,30,7,2,7,2,3,26,6,22,16,2,3,3,14,6,6,10,36,5,7,6,4,13,6,11,,,,,,,,,,,,7,1,5,2,4,17,2,4,9,6,8,2,5,11,5,6,17,4,9,3,25,,22,17,,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110012567096,w192033,Medium Shade,,1,,,,3,15,2,3,2,2,2,5,23,6,32,90,17,12,2,1,,22,1,10,4,2,,1,,8,5,4,6,4,1,3,1,1,22,4,2,8,5,1,10,8,11,11,5,3,4,2,1,4,1,9,2,2,3,1,4,,7,4,4,,4,,3,10,1,64,26,3,2,,,,,,,,,,,,,1,1,1,7,5,16,8,4,7,,8,6,4,12,2,5,13,34,41,23,,24,9,2,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110009422214,w1648,Medium Shade,,12,36,41,18,11,7,7,5,4,2,5,,7,5,5,,10,5,8,2,2,3,25,11,2,5,2,1,6,7,4,8,1,3,23,4,1,,2,,28,3,5,6,50,17,8,22,9,7,6,4,11,15,2,2,,7,7,,4,1,12,2,1,7,5,1,15,1,2,30,51,101,26,,,,,,,,,,,,4,,11,28,4,10,17,5,11,3,4,1,6,1,16,15,6,14,5,,4,15,8,11,1,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110012567777,W192402,Medium Shade,,2,29,6,2,2,2,7,3,4,1,9,28,7,4,11,,14,13,4,14,2,2,15,,8,,5,1,4,,5,6,7,1,8,11,3,1,28,1,3,12,5,4,4,1,10,8,36,8,11,36,8,12,2,8,,8,22,12,5,4,16,10,2,5,21,35,6,1,7,21,33,21,32,,,,,,,,,,,,3,2,1,1,4,2,6,7,6,5,5,2,1,3,2,10,6,4,2,,9,8,30,4,3,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110009539931,y1119,Medium Shade,,,,,11,7,14,1,8,7,1,7,14,2,11,4,6,2,4,20,10,8,2,5,25,5,31,10,17,8,,1,,9,11,7,21,3,,13,1,12,15,5,26,7,11,,,11,9,48,6,21,35,4,1,5,2,18,4,1,6,8,68,,5,3,1,5,15,1,35,19,42,9,,,,,,,,,,,,5,,6,3,9,8,13,3,4,13,7,4,7,3,4,3,2,7,4,6,58,5,23,10,,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110009541492,2949,Medium Shade,,1,9,9,2,1,5,,3,,7,10,11,,1,9,12,,2,,6,11,,6,7,6,,8,,1,3,5,1,6,6,7,5,4,1,5,,6,3,1,4,2,2,3,,2,4,5,,3,3,4,14,15,4,4,,6,5,7,7,,,,1,13,7,,51,41,53,74,,,,,,,,,,,,4,,9,10,5,4,5,3,6,6,,7,2,5,,2,6,2,15,3,37,,14,11,,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110012567630,w1754,Medium Shade,,2,6,16,2,8,5,1,,2,5,4,7,6,11,9,3,2,9,7,5,19,31,12,12,4,1,12,5,15,3,6,4,,3,18,2,13,,15,3,34,11,11,,42,5,3,1,2,5,3,1,3,12,19,6,44,14,,,2,8,7,6,,,7,14,4,3,3,32,28,32,5,,,,,,,,,,,,9,7,10,,2,5,3,3,6,5,4,7,7,10,8,9,10,8,13,20,34,83,77,55,10,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110009422261,w9560,Medium Shade,,4,,,3,13,,7,2,13,7,8,4,5,2,6,3,10,39,34,20,7,,8,19,9,,3,3,7,5,1,14,2,,10,6,10,3,2,5,3,22,17,4,7,3,4,,2,2,3,10,12,31,6,2,1,10,1,3,1,,11,13,6,3,9,2,8,1,,67,46,3,14,,,,,,,,,,,,2,1,8,5,6,21,1,4,1,,9,5,6,7,15,14,17,13,9,3,39,11,17,7,1,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110009540569,w743,Medium Shade,,,6,23,5,2,3,5,,4,7,7,1,9,3,10,3,15,5,5,,,1,,3,,1,4,7,1,4,3,23,,11,6,32,8,,4,,5,2,9,,31,5,1,31,1,8,10,1,23,7,4,1,2,3,10,12,2,8,9,10,3,3,,,2,13,,39,61,66,,,,,,,,,,,,,2,,5,1,15,4,2,1,2,8,1,1,6,2,6,2,1,11,13,2,24,22,11,8,4,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110009538703,2589,Medium Shade,,1,4,10,4,3,6,8,3,1,9,6,,1,,3,1,5,2,1,2,8,,4,,1,2,9,,3,,1,20,1,,5,,4,,,5,1,6,1,4,1,2,,15,3,1,5,7,3,6,,9,7,7,23,1,,5,3,,1,,2,15,1,3,,40,40,9,,,,,,,,,,,,,12,,3,1,18,2,3,126,77,30,86,12,34,16,4,5,6,7,5,4,11,9,19,15,,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110009538980,w1680,Medium Shade,,,,,5,12,1,3,4,1,5,1,20,5,5,1,2,4,13,,11,3,3,12,6,3,,1,,2,20,4,1,,2,,,4,2,16,2,8,12,4,14,41,7,2,2,3,12,6,17,4,16,1,2,13,9,5,,5,10,18,90,12,,6,11,5,3,2,26,19,2,13,,,,,,,,,,,,2,3,,6,6,7,2,8,4,15,5,20,2,13,,4,11,10,11,10,13,7,27,14,2,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110009540595,2530,Medium Shade,,1,,,,8,28,16,4,28,3,16,4,5,6,7,3,10,16,6,2,1,4,5,1,1,16,5,6,5,4,11,2,2,2,6,8,9,5,3,2,2,5,4,8,3,10,6,53,5,18,5,6,6,12,,1,8,7,10,7,4,47,11,3,1,3,,6,1,5,3,43,33,9,2,,,,,,,,,,,,1,4,8,1,5,2,16,2,22,17,2,10,3,1,6,25,3,6,7,2,16,73,7,44,,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110019090472,W1663,Medium Shade,,,,,2,2,5,2,,,5,23,7,3,7,7,,2,13,2,,1,,3,15,1,11,6,6,1,6,2,3,4,4,15,6,7,5,5,15,3,30,,2,33,2,6,1,3,23,19,2,7,10,3,8,9,12,,2,4,6,2,6,4,4,4,1,2,1,,39,48,14,3,,,,,,,,,,,,,1,10,7,6,1,6,,1,2,1,4,5,,14,4,7,7,6,11,31,5,11,21,,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110009540573,2509,Medium Shade,,2,21,12,6,1,12,,,7,3,3,2,2,16,1,,3,2,2,2,10,,7,3,,3,3,1,2,1,,2,20,,,,5,1,3,,12,2,2,9,3,2,3,1,2,3,4,1,6,2,3,,,1,2,,3,22,1,1,1,,5,1,10,1,,45,14,9,,,,,,,,,,,,,2,,4,18,16,1,4,5,4,11,1,9,9,4,6,2,3,8,7,4,6,12,20,9,,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110019091847,y452,Medium Shade,,,,,,2,2,2,2,4,4,14,5,,9,5,,14,3,6,8,5,7,2,5,1,2,7,,9,9,19,,6,2,18,13,10,2,10,8,8,12,2,4,11,16,,1,14,17,7,2,10,14,3,1,14,1,2,4,17,,2,3,,1,2,3,10,1,5,54,42,8,5,,,,,,,,,,,,3,,5,5,6,9,3,7,4,4,5,,12,6,1,21,6,7,4,5,12,4,6,10,2,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110012567879,2994,Medium Shade,,1,,,1,1,6,3,4,7,6,2,9,1,7,6,,4,26,58,122,28,92,27,6,23,2,6,3,5,3,2,,9,1,11,4,6,2,14,1,13,3,14,5,3,7,2,3,18,14,10,9,16,9,6,10,2,8,7,4,9,4,12,4,1,2,10,6,,1,3,17,31,16,6,,,,,,,,,,,,7,4,12,3,9,4,6,8,,5,12,1,4,2,3,1,2,25,6,26,26,6,26,21,5,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110009538667,2378,Medium Shade,,4,5,11,6,2,,,2,2,1,1,1,,1,2,7,1,25,3,4,22,,6,6,2,,6,21,2,4,2,,2,3,1,22,7,,3,1,2,2,3,7,5,3,10,1,,6,2,,16,2,7,6,39,7,9,,1,12,5,30,2,1,2,,,7,1,18,14,4,,,,,,,,,,,,,3,,2,8,4,7,4,14,4,9,7,1,1,4,4,,5,4,4,1,12,8,19,11,3,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110012568355,w1658,Medium Shade,,10,24,11,17,27,5,2,7,4,2,,3,1,9,5,10,1,3,9,3,,1,2,,,4,3,3,1,5,2,4,7,1,6,11,2,6,7,,2,,3,,2,17,10,2,5,3,5,4,5,5,2,12,7,5,3,,1,1,5,7,,2,9,2,4,,,4,9,4,4,,,,,,,,,,,,1,,1,1,9,11,3,4,1,3,4,1,1,1,1,7,3,7,7,2,25,4,15,4,,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110009539528,w232,Medium Shade,,2,,,5,2,7,7,3,22,2,4,4,7,21,7,9,2,13,14,6,4,5,2,,,3,2,9,5,1,,5,,1,7,32,5,,2,2,,3,2,44,10,1,16,5,2,2,10,2,9,12,6,14,,4,13,1,3,23,3,,3,7,2,1,4,,7,31,62,1,,,,,,,,,,,,,17,1,3,1,8,3,3,5,5,4,3,3,4,5,1,6,4,5,7,1,14,5,10,27,,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110012553990,2360,Medium Shade,,1,,,,7,12,5,,7,2,14,25,10,11,4,1,3,1,1,2,1,1,4,,,,4,7,5,1,3,8,9,2,6,2,3,3,,,22,8,6,7,5,5,1,2,,7,10,11,1,2,,6,,2,1,,2,4,6,22,2,1,2,1,4,2,1,48,26,,1,,,,,,,,,,,,3,7,5,,9,2,7,4,3,6,4,8,5,2,,2,1,5,6,2,10,9,22,14,,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110012568163,Y1100,Medium Shade,,14,30,13,2,7,10,2,12,2,10,7,12,1,23,9,12,7,3,6,9,2,,7,4,6,1,2,,17,7,8,17,3,12,12,18,6,1,,3,3,6,9,10,3,3,6,10,,11,7,2,8,14,7,4,40,2,6,18,4,3,8,,2,1,10,6,8,3,2,66,22,45,5,,,,,,,,,,,,2,2,6,,11,6,8,54,57,143,178,65,79,52,58,10,2,8,14,4,26,12,10,47,,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110012567544,2586,Medium Shade,,,,,6,,,2,2,3,7,6,,,3,4,,7,8,2,16,,,1,2,1,,6,25,,6,3,4,3,3,1,,4,1,1,,4,,7,6,8,8,2,,2,14,11,6,7,2,7,9,9,7,1,,,,5,4,5,10,2,,4,6,,79,17,1,116,,,,,,,,,,,,2,,8,1,1,8,1,1,13,1,,8,7,2,19,6,12,34,2,2,8,5,21,6,1,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110012554464,w9561,Medium Shade,,1,13,8,3,7,,6,7,,1,5,27,6,2,16,1,11,,3,2,10,,6,17,,3,5,4,9,3,4,,4,4,5,,6,3,,3,1,11,21,3,46,29,2,6,4,2,8,11,9,8,5,40,8,12,3,9,,3,7,1,4,3,3,2,28,1,,31,8,65,,,,,,,,,,,,,,2,11,9,3,4,3,4,8,3,3,6,2,5,14,6,7,13,22,2,11,17,8,7,,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110009541329,y462,Medium Shade,,2,7,17,7,6,37,4,12,3,8,6,1,,,5,1,13,8,8,11,6,1,9,12,,,7,,16,9,1,2,1,4,22,6,3,8,2,24,4,,4,2,1,2,16,9,3,1,4,3,3,4,1,7,8,2,24,32,2,21,11,,5,,1,,4,12,1,29,18,4,28,,,,,,,,,,,,1,7,9,15,7,15,2,7,8,7,6,3,2,6,2,2,3,20,28,,4,9,15,11,,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110009540599,2514,Medium Shade,,6,22,10,2,3,9,7,1,7,2,1,4,2,2,1,3,11,24,2,1,6,1,6,25,6,,11,9,3,7,,,23,4,3,4,4,,,,3,10,12,5,15,5,33,40,,2,7,7,12,3,7,,,2,6,,4,14,38,1,1,,7,10,7,2,7,40,52,19,17,,,,,,,,,,,,1,3,7,3,12,8,11,11,19,13,10,7,46,3,28,20,6,11,7,4,19,13,20,12,2,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110019091241,2367,Medium Shade,,,,,,4,9,5,2,5,2,4,7,3,4,7,,2,2,9,19,2,15,28,22,32,24,10,8,7,3,4,,1,3,11,3,6,4,2,1,7,45,1,6,4,,3,41,2,4,1,2,1,13,3,1,22,3,3,12,2,6,4,4,13,1,7,,4,4,10,43,43,37,5,,,,,,,,,,,,7,2,,9,5,2,7,5,3,3,1,3,7,3,2,7,3,21,5,2,32,4,17,8,1,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110009540544,Y1084,Medium Shade,,1,,,2,9,,2,22,7,6,4,1,2,3,3,7,2,4,8,3,16,18,5,4,6,6,1,10,,3,1,,11,,6,5,2,,13,6,39,1,9,29,5,8,17,5,,5,8,5,5,5,3,36,16,20,10,,6,,2,1,3,2,1,5,,2,13,14,31,21,,,,,,,,,,,,,7,1,2,2,3,7,5,7,2,,1,2,2,4,,10,1,3,34,13,11,15,17,6,1,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110009538761,2894,Medium Shade,,2,18,9,,16,20,9,,5,4,3,3,5,18,1,11,,5,16,,,5,,3,8,13,3,5,7,17,42,2,10,14,7,1,5,,1,9,,3,2,6,3,3,16,7,9,2,9,2,6,1,13,,16,4,4,4,21,6,5,1,21,21,3,9,3,2,3,32,132,4,7,,,,,,,,,,,,1,2,5,,4,11,26,4,5,10,6,13,3,2,1,5,6,26,4,21,15,6,26,5,2,,,,,,,,,,,,,,,,,,,,,
940 110007343058,w192408,940 110012567418,y471,Medium Shade,,2,9,6,2,5,3,10,2,63,15,11,5,5,5,6,11,5,,1,9,5,2,4,18,,7,8,1,12,6,12,14,1,3,13,10,10,2,12,10,5,2,20,4,5,8,1,29,11,8,12,1,8,12,13,14,,5,,3,3,27,76,63,12,6,16,14,9,7,5,33,126,7,4,,,,,,,,,,,,3,1,2,6,8,2,4,3,6,9,12,10,,16,8,3,9,4,3,5,21,5,21,28,1,,,,,,,,,,,,,,,,,,,,,
