Ram_EID,Ram_coller,Ewe_EID,Ewe_coller,Plot,14/2/2024,15/2/2024,16/2/2024,17/2/2024,18/2/2024,19/2/2024,20/2/2024,21/2/2024,22/2/2024,23/2/2024,24/2/2024,25/2/2024,26/2/2024,27/2/2024,28/2/2024,29/2/2024,1/3/2024,2/3/2024,3/3/2024,4/3/2024,5/3/2024,6/3/2024,7/3/2024
940 110011818156,w192385,940 110012554719,w1614,High Shade,13,58,44,26,35,42,24,20,65,72,49,74,59,41,123,13,67,48,105,29,,,
940 110011818156,w192385,940 110019092801,2922,High Shade,5,57,44,28,25,53,15,45,33,49,23,29,43,17,89,33,88,79,25,44,,,
940 110011818156,w192385,940 110019088618,2563,High Shade,6,26,109,39,37,35,23,34,38,38,67,18,17,19,84,37,59,105,32,31,,,
940 110011818156,w192385,940 110009539765,w1771,High Shade,15,46,61,44,68,89,14,35,48,72,71,22,17,77,127,50,37,58,105,33,,,
940 110011818156,w192385,940 110019091874,2933,High Shade,9,47,63,47,26,22,66,41,56,30,32,25,44,39,208,65,98,59,49,38,,,
940 110011818156,w192385,940 110019090507,2590,High Shade,10,40,64,25,37,23,17,26,25,39,16,38,52,63,118,16,59,66,56,47,,,
940 110011818156,w192385,940 110009538677,W192239,High Shade,20,24,32,39,35,104,58,56,57,74,68,41,30,33,150,53,64,61,36,83,,,
940 110011818156,w192385,940 110009541027,2930,High Shade,6,29,57,39,65,26,129,26,90,80,32,73,82,35,240,24,32,25,44,59,,,
940 110011818156,w192385,940 110012567125,2363,High Shade,11,12,17,67,14,18,14,16,89,43,36,56,46,57,75,38,66,51,99,50,,,
940 110011818156,w192385,940 110020787431,w1706,High Shade,9,62,37,29,31,22,19,22,39,24,72,26,30,18,87,29,40,101,40,142,,,
940 110011818156,w192385,940 110012567054,2411,High Shade,4,21,45,39,44,25,13,49,102,26,40,29,63,19,216,64,48,80,59,68,,,
940 110011818156,w192385,940 110009540879,w192135,High Shade,5,22,22,60,48,29,30,13,49,51,52,55,64,115,139,55,80,52,48,115,,,
940 110011818156,w192385,940 110012566916,2543,High Shade,6,23,17,52,44,48,22,40,115,63,23,26,34,32,134,40,38,58,35,33,,,
940 110011818156,w192385,940 110012553776,2571,High Shade,3,21,29,39,36,23,33,15,28,44,95,6,62,108,118,22,65,39,36,23,,,
940 110011818156,w192385,940 110009422880,2407,High Shade,6,13,12,23,30,56,38,50,37,35,68,29,29,52,183,68,87,88,100,21,,,
940 110011818156,w192385,940 110009541155,2399,High Shade,4,23,12,31,22,29,34,72,29,37,61,69,37,32,90,21,40,78,92,54,,,
940 110011818156,w192385,940 110012564910,2461,High Shade,12,25,20,20,78,28,44,18,31,30,51,44,17,26,53,17,57,49,50,31,,,
940 110011818156,w192385,940 110019088661,w791,High Shade,8,11,40,98,19,21,39,36,25,38,56,10,11,31,92,26,56,83,78,251,,,
940 110011818156,w192385,940 110012567424,2305,High Shade,9,40,43,60,20,36,16,38,20,40,27,62,21,91,129,115,60,69,38,24,,,
940 110011818156,w192385,940 110009541284,2323,High Shade,4,56,21,31,29,14,52,19,30,33,34,44,21,31,115,16,34,30,31,58,,,
940 110011818156,w192385,940 110009423155,w192406,High Shade,2,29,11,26,62,48,69,19,23,45,71,49,25,21,104,50,39,53,53,30,,,
940 110011818156,w192385,940 110012567049,2988,High Shade,5,45,23,31,41,27,63,29,91,32,29,28,27,105,161,23,61,47,50,15,,,
940 110011818156,w192385,940 110009539292,2958,High Shade,3,27,110,25,38,22,17,20,64,28,18,19,38,24,116,21,35,56,16,113,,,
940 110011818156,w192385,940 110009540852,3717,High Shade,20,29,50,35,36,57,31,75,53,25,79,50,50,59,185,20,43,89,42,60,,,
940 110011818156,w192385,940 110009538693,w993,High Shade,5,33,14,24,50,48,49,37,34,31,49,38,25,31,116,35,97,114,72,49,,,
940 110011818156,w192385,940 110009541193,w226,High Shade,14,79,90,40,36,47,34,55,66,57,51,16,78,57,172,56,70,93,53,49,,,
940 110011818156,w192385,940 110009540641,w765,High Shade,64,28,19,49,23,7,80,25,26,28,21,29,33,27,107,21,56,95,16,79,,,
940 110011818156,w192385,940 110009423023,y455,High Shade,5,42,34,48,82,20,100,27,90,45,36,41,36,79,161,62,36,64,16,53,,,
940 110011818156,w192385,940 110009539574,W1585,High Shade,7,33,38,43,58,31,62,86,58,45,24,15,40,91,196,50,70,105,50,23,,,
940 110011818156,w192385,940 110012566390,2467,High Shade,14,23,19,51,44,8,117,104,46,18,4,6,75,9,36,19,47,29,56,38,,,
940 110011818156,w192385,940 110009540400,w192325,High Shade,2,38,23,20,27,15,79,18,29,18,81,104,73,92,117,31,71,79,28,43,,,
940 110011818156,w192385,940 110012565375,3744,High Shade,13,26,17,45,30,27,29,12,37,33,35,21,38,35,153,40,49,61,62,59,,,
940 110011818156,w192385,940 110009540112,w192218,High Shade,34,69,22,70,52,47,36,43,74,64,45,38,39,27,174,60,42,126,33,63,,,
940 110011818156,w192385,940 110012567022,w937,High Shade,6,51,52,41,47,42,28,52,62,61,58,40,41,25,133,72,80,74,55,42,,,
940 110011818156,w192385,940 110012553675,w192153,High Shade,8,22,27,37,30,35,22,20,58,73,37,65,32,35,91,29,47,44,22,101,,,
940 110011818156,w192385,940 110012554588,2628,High Shade,7,24,15,40,33,15,36,35,56,96,46,19,28,45,56,44,34,25,12,31,,,
940 110011818156,w192385,940 110012565425,2703,High Shade,9,44,75,21,81,34,18,24,31,32,27,35,49,133,132,51,64,53,57,54,,,
940 110011818156,w192385,940 110019090105,2520,High Shade,4,21,36,24,20,28,17,67,22,68,19,22,29,42,243,41,49,75,90,45,,,
940 110011818156,w192385,940 110019091541,2893,High Shade,5,12,11,25,16,16,10,15,18,12,19,94,23,51,127,22,42,73,56,72,,,
940 110011818156,w192385,940 110012554845,W192256,High Shade,31,41,67,39,41,20,26,49,23,33,45,34,42,22,238,46,82,71,28,38,,,
940 110011818156,w192385,940 110019090374,2365,High Shade,7,66,44,35,49,37,16,63,74,72,34,34,63,45,208,38,59,86,94,179,,,
940 110011818156,w192385,940 110009541586,w192277,High Shade,6,17,16,29,40,41,24,35,15,32,41,24,17,20,47,29,96,101,12,15,,,
940 110011818156,w192385,940 110019091053,2671,High Shade,9,33,35,33,7,12,18,18,12,15,31,42,53,23,100,45,49,86,61,20,,,
940 110011818156,w192385,982 123812217444,w192236,High Shade,12,31,30,35,21,45,52,114,54,22,37,22,82,26,100,53,69,59,45,48,,,
940 110011818156,w192385,940 110012567887,2650,High Shade,6,91,67,42,29,28,95,27,41,49,20,23,37,66,142,56,96,64,28,66,,,
940 110011818156,w192385,940 110019090379,w1785,High Shade,8,55,30,41,55,7,17,14,28,25,18,25,31,22,106,33,33,109,36,20,,,
940 110011818156,w192385,940 110019089911,2038,High Shade,12,31,13,12,31,30,28,29,27,47,28,33,21,58,138,36,78,82,28,42,,,
940 110011818156,w192385,940 110009539063,w221,High Shade,4,59,37,42,25,60,41,74,119,94,79,38,45,40,97,43,57,77,87,76,,,
940 110011818156,w192385,940 110019091927,y493,High Shade,11,41,42,67,67,19,59,46,46,43,52,36,147,84,239,41,82,115,64,121,,,
940 110011818156,w192385,940 110009539600,o22,High Shade,13,22,22,55,58,32,106,124,71,35,64,12,41,55,80,43,126,139,32,20,,,
940 110011818156,w192385,940 110009541457,y449,High Shade,4,29,35,22,87,40,17,25,62,28,34,39,33,32,291,41,62,42,36,42,,,
940 110011818156,w192385,940 110009423145,w192150,High Shade,13,41,109,27,46,74,65,48,24,115,49,43,25,56,140,26,61,62,40,48,,,
940 110011818156,w192385,940 110009541731,o41,High Shade,1,21,36,42,24,6,17,62,89,23,16,15,48,54,130,37,35,88,56,22,,,
940 110011818156,w192385,940 110019089807,w773,High Shade,12,26,68,29,18,28,31,25,112,73,39,31,40,35,241,79,80,67,74,40,,,
940 110011818156,w192385,940 110009540892,2373,High Shade,15,14,24,24,43,40,55,28,38,34,24,48,32,44,141,114,73,54,113,31,,,
940 110011818156,w192385,940 110012566714,3750,High Shade,8,20,22,46,29,38,30,22,59,214,31,35,33,61,109,42,94,40,21,63,,,
940 110011818156,w192385,940 110009539732,2639,High Shade,12,60,23,36,16,27,36,57,21,21,28,48,36,78,191,34,86,76,64,91,,,
940 110011818156,w192385,940 110009540691,2018,High Shade,8,153,75,32,21,18,24,30,43,29,27,16,35,57,81,19,48,50,72,41,,,
940 110011818156,w192385,940 110009422291,2900,High Shade,6,32,65,24,10,53,32,26,102,40,25,11,38,24,161,35,40,54,66,11,,,
940 110011818156,w192385,940 110019090490,2627,High Shade,4,14,35,28,18,24,13,40,58,66,19,36,27,38,114,33,47,121,42,46,,,
940 110011818156,w192385,940 110009540880,w897,High Shade,4,27,36,34,70,86,76,31,43,40,33,22,50,43,164,45,88,39,68,24,,,
940 110011818156,w192385,940 110012565868,2952,High Shade,3,52,60,55,21,14,38,24,20,21,33,26,14,56,121,28,35,67,130,45,,,
940 110011818156,w192385,940 110009539582,2602,High Shade,6,38,22,69,32,83,70,63,68,27,46,16,33,63,128,23,43,65,98,32,,,
940 110011818156,w192385,940 110009541461,2621,High Shade,6,27,35,72,25,13,46,26,112,66,74,70,67,44,116,54,75,58,41,57,,,
940 110011818156,w192385,940 110009539701,w192055,High Shade,5,16,32,30,45,23,22,56,17,111,29,67,40,113,125,42,79,53,25,36,,,
940 110011818156,w192385,940 110009541618,2559,High Shade,5,35,36,40,31,38,30,36,62,21,28,15,90,67,119,46,66,64,31,38,,,
940 110011818156,w192385,940 110009539186,2625,High Shade,17,59,15,59,42,31,19,56,78,57,37,54,21,80,155,48,32,72,36,38,,,
940 110011818156,w192385,940 110009538652,2574,High Shade,5,27,28,13,91,90,40,52,90,24,46,19,45,44,90,33,45,78,22,46,,,
940 110011818156,w192385,940 110012566735,2934,High Shade,6,55,47,69,22,15,56,41,21,37,65,24,53,57,313,20,82,105,18,27,,,
940 110011818156,w192385,940 110012554672,y1024,High Shade,2,30,26,54,47,43,47,24,33,50,56,18,33,24,64,66,41,65,89,29,,,
940 110011818156,w192385,940 110019091360,2937,High Shade,24,20,19,39,30,40,20,39,28,44,66,46,38,82,133,43,80,51,10,117,,,
940 110011818156,w192385,940 110011991139,2653,High Shade,2,9,,,,,,,1,50,2,14,7,11,37,15,51,33,109,21,,,
940 110011818156,w192385,940 110009540731,2713,High Shade,13,59,118,53,22,33,57,24,70,93,104,49,62,17,141,45,74,33,20,51,,,
940 110011818156,w192385,940 110009541182,w192154,High Shade,9,20,30,32,27,24,104,79,80,39,64,43,58,77,78,53,44,44,86,47,,,
940 110011818156,w192385,940 110012567632,5361,High Shade,3,16,42,50,40,83,25,30,36,66,43,43,50,51,396,25,73,48,85,30,,,
940 110011818156,w192385,940 110009541089,2568,High Shade,20,47,57,45,35,15,45,22,32,30,35,204,30,49,126,53,75,51,33,82,,,
940 110011818156,w192385,940 110009540994,w192561,High Shade,7,37,29,21,84,110,100,47,52,64,73,71,32,58,138,65,86,73,37,65,,,
940 110011818156,w192385,940 110012567203,2537,High Shade,6,31,18,39,76,31,123,36,41,30,37,46,39,54,148,44,61,56,38,35,,,
940 110011818156,w192385,940 110009541435,2979,High Shade,12,44,55,36,95,17,30,36,39,57,68,22,16,33,153,76,44,28,25,96,,,
940 110011818156,w192385,940 110012553652,w9511,High Shade,13,29,76,27,34,84,7,37,37,76,61,32,31,39,125,30,55,66,88,29,,,
940 110011818156,w192385,940 110012554433,y474,High Shade,2,21,16,53,28,51,12,34,14,49,30,21,43,64,64,55,44,76,31,35,,,
940 110011818156,w192385,940 110009539288,w192212,High Shade,43,185,31,20,16,16,2,39,46,42,70,22,12,31,139,28,26,39,79,10,,,
940 110011818156,w192385,940 110019090030,2629,High Shade,4,63,32,55,48,73,24,39,26,50,13,111,105,36,140,30,66,48,87,27,,,
940 110011818156,w192385,940 110019091890,y460,High Shade,2,50,23,37,19,26,26,28,19,44,43,37,27,25,149,34,111,73,21,229,,,
940 110011818156,w192385,940 110009539164,2924,High Shade,7,17,44,26,32,13,60,67,63,92,79,54,191,49,182,44,99,82,150,44,,,
940 110011818156,w192385,940 110009540290,2327,High Shade,5,29,45,8,17,53,30,24,47,20,23,21,39,69,57,20,113,58,79,22,,,
940 110011818156,w192385,940 110009540162,2433,High Shade,4,20,11,53,22,4,17,42,45,37,20,90,57,96,164,33,56,85,67,68,,,
940 110011818156,w192385,940 110009541259,3758,High Shade,3,49,25,62,83,85,140,38,38,60,30,90,39,77,74,57,83,53,97,132,,,
940 110011818156,w192385,940 110012554553,w961,High Shade,15,70,58,43,39,26,118,102,72,88,82,25,125,70,119,47,90,101,45,44,,,
940 110011818156,w192385,940 110009530579,w967,High Shade,4,61,56,48,172,69,30,29,24,32,37,13,49,40,161,58,66,66,48,31,,,
940 110011818156,w192385,940 110009539267,y444,High Shade,8,18,28,20,13,9,47,25,16,108,37,19,26,25,65,26,22,50,45,17,,,
940 110011818156,w192385,940 110009539379,2646,High Shade,6,80,46,60,40,66,106,18,123,91,28,26,99,89,184,25,53,67,34,48,,,
940 110011818156,w192385,940 110009539523,2303,High Shade,13,39,69,13,12,8,36,13,19,36,22,36,23,84,110,28,51,42,41,50,,,
940 110011818156,w192385,940 110009540131,2640,High Shade,3,37,51,28,36,89,58,124,55,37,42,33,35,68,61,45,54,80,23,47,,,
940 110011818156,w192385,940 110009539215,w979,High Shade,8,29,23,38,44,62,62,25,55,38,102,94,26,102,101,35,63,30,50,40,,,
940 110011818156,w192385,940 110019091895,2394,High Shade,5,29,72,21,37,16,10,8,18,47,45,17,21,28,99,29,90,68,49,51,,,
940 110011818156,w192385,940 110019090103,w192008,High Shade,12,53,9,50,46,22,22,44,53,45,26,33,33,50,131,29,61,92,50,35,,,
940 110011818156,w192385,940 110012568291,y434,High Shade,9,27,10,61,15,23,21,27,35,65,36,28,65,44,137,51,84,97,72,65,,,
940 110011818156,w192385,940 110009539587,w192330,High Shade,4,31,33,42,32,45,183,49,40,55,85,28,48,42,125,87,62,69,78,32,,,
940 110011818156,w192385,940 110012553789,2610,High Shade,21,32,29,33,59,56,40,31,9,35,67,101,28,52,108,61,69,48,61,58,,,
940 110011818156,w192385,940 110019091049,2418,High Shade,7,33,69,42,25,49,32,61,22,25,31,25,50,28,147,93,55,95,20,29,,,
940 110011818156,w192385,940 110009540147,w1637,High Shade,18,21,12,21,25,19,13,26,62,35,25,22,39,30,194,56,60,48,50,76,,,
940 110011818156,w192385,940 110019091521,2350,High Shade,6,79,58,66,25,30,18,54,104,45,47,91,39,31,170,33,60,62,43,60,,,
940 110011818156,w192385,940 110012554501,2717,High Shade,8,87,61,37,22,34,29,20,30,90,27,27,37,55,87,27,45,100,29,64,,,
940 110011818156,w192385,940 110009422302,2616,High Shade,10,13,38,54,61,36,18,13,77,62,59,36,41,28,144,97,56,71,74,30,,,
940 110011818156,w192385,940 110009538502,w1763,High Shade,5,22,18,51,33,31,106,50,76,81,61,38,111,54,114,33,55,32,93,67,,,
940 110011818156,w192385,940 110012565444,w1512,High Shade,8,52,30,27,30,18,91,39,66,20,70,23,108,15,182,71,78,50,26,49,,,
940 110011818156,w192385,940 110009538623,2554,High Shade,6,35,28,56,30,16,14,61,25,18,13,14,94,89,78,65,100,77,46,51,,,
940 110011818156,w192385,940 110009539443,W1695,High Shade,11,76,13,60,23,30,54,107,66,94,38,29,34,37,220,45,94,82,73,41,,,
940 110011818156,w192385,940 110012566730,w192152,High Shade,7,46,221,26,58,50,62,42,37,83,25,27,36,32,179,46,71,76,88,65,,,
940 110011818156,w192385,940 110009538900,2659,High Shade,9,112,25,57,49,23,119,99,93,49,43,30,79,36,244,57,64,71,52,130,,,
940 110011818156,w192385,940 110009539846,y448,High Shade,,,,,,,,,8,11,6,80,43,33,61,52,78,73,48,109,,,
940 110011818156,w192385,940 110012564957,2622,High Shade,10,40,30,28,58,37,95,44,75,84,38,31,117,32,162,71,58,90,28,57,,,
940 110011818156,w192385,940 110012567143,w1640,High Shade,6,28,65,30,55,38,29,124,78,22,28,20,22,21,58,23,48,52,122,32,,,
940 110011818156,w192385,940 110009539995,w213,High Shade,12,104,26,64,47,129,21,72,93,58,73,56,60,66,223,47,75,91,109,45,,,
940 110011818156,w192385,940 110012566557,2688,High Shade,11,44,50,31,42,17,30,88,24,41,29,13,26,31,107,29,41,85,20,227,,,
940 110011818156,w192385,940 110009538743,2023,High Shade,12,33,28,17,18,27,25,38,59,18,41,15,34,21,97,55,52,86,32,35,,,
940 110011818156,w192385,940 110009539721,w9513,High Shade,7,40,24,34,50,14,50,53,52,19,87,33,46,31,131,30,44,98,93,26,,,
940 110011818156,w192385,940 110009539113,2423,High Shade,2,15,37,29,25,28,59,29,30,36,27,13,49,65,241,32,44,43,16,23,,,
940 110011818156,w192385,940 110009538774,2384,High Shade,,27,15,42,91,91,24,30,54,25,42,29,64,39,181,80,75,71,21,58,,,
940 110011818156,w192385,940 110019090459,2626,High Shade,5,57,33,15,38,27,39,67,42,70,92,31,45,27,113,41,68,61,67,35,,,
940 110011818156,w192385,940 110012565433,2674,High Shade,9,8,18,14,47,35,28,21,24,48,44,54,22,37,142,32,74,43,69,35,,,
940 110011818156,w192385,940 110009540630,2969,High Shade,21,14,25,16,40,44,29,31,30,51,45,51,8,22,115,43,54,74,25,3,,,
940 110011818156,w192385,940 110009538571,2395,High Shade,10,62,57,63,42,38,5,33,78,69,68,22,18,113,186,55,93,84,55,63,,,
940 110011818156,w192385,940 110019091513,w192087,High Shade,11,41,93,29,31,20,36,35,14,35,36,41,21,53,51,28,132,34,50,23,,,
940 110011818156,w192385,940 110012554843,w1552,High Shade,4,55,14,56,35,49,29,73,100,26,42,7,46,32,100,28,44,91,38,23,,,
940 110011818156,w192385,940 110009423166,2963,High Shade,8,22,37,37,42,43,37,100,97,27,47,43,44,73,118,40,63,64,37,45,,,
940 110011818156,w192385,940 110012568096,2620,High Shade,11,14,29,80,38,60,11,27,35,62,51,43,74,92,214,30,103,66,77,88,,,
940 110011818156,w192385,940 110019091355,2321,High Shade,10,27,64,32,12,19,26,45,42,23,69,18,32,79,125,38,69,34,47,71,,,
940 110011818156,w192385,940 110012564961,2335,High Shade,2,38,49,45,20,43,39,22,25,28,24,15,72,46,149,47,86,40,27,46,,,
940 110011818156,w192385,940 110012554714,w192377,High Shade,5,19,31,54,39,14,20,27,22,11,53,30,33,34,115,62,49,58,57,37,,,
940 110011818156,w192385,940 110009421864,o27,High Shade,15,79,80,42,66,23,16,14,40,24,39,25,57,89,150,33,59,68,81,47,,,
940 110011818156,w192385,940 110009423220,o24,High Shade,16,28,57,55,31,28,12,31,103,38,28,24,60,43,227,62,62,58,32,71,,,
940 110011818156,w192385,940 110009540190,1474,High Shade,11,42,25,30,17,78,23,42,37,36,39,41,47,83,111,65,64,140,39,54,,,
940 110011818156,w192385,940 110009541679,w1661,High Shade,9,26,40,24,35,53,41,34,46,25,22,42,22,46,122,36,71,54,38,139,,,
940 110011818156,w192385,940 110012554266,w1645,High Shade,3,36,14,41,32,49,14,27,69,37,97,12,53,90,159,54,44,57,28,27,,,
940 110011818156,w192385,940 110012566822,w192004,High Shade,7,50,50,40,70,19,10,16,72,45,19,23,19,37,100,18,41,36,73,44,,,
940 110011818156,w192385,940 110019091371,w1756,High Shade,3,82,36,35,33,52,44,26,35,21,40,58,19,30,106,55,61,59,25,49,,,
940 110011818156,w192385,940 110009538722,3753,High Shade,5,19,64,25,33,38,15,79,54,36,43,41,59,124,172,116,74,64,29,31,,,
940 110011818156,w192385,940 110009541521,2613,High Shade,13,80,36,35,35,37,61,61,30,38,52,18,108,46,135,31,78,38,63,68,,,
940 110011818156,w192385,940 110009423176,2451,High Shade,6,12,29,37,30,47,107,26,33,53,22,36,67,60,249,27,81,120,41,77,,,
940 110011818156,w192385,940 110012566863,y472,High Shade,8,17,29,54,14,27,14,18,69,25,65,46,134,75,146,34,93,103,80,98,,,
940 110011818156,w192385,940 110009541526,y428,High Shade,2,37,29,22,31,28,12,43,11,17,31,25,18,45,242,26,41,59,31,24,,,
940 110011818156,w192385,940 110009539726,w952,High Shade,3,72,32,20,32,23,33,20,31,58,14,35,55,134,94,39,72,71,89,41,,,
940 110011818156,w192385,940 110009541103,w192002,High Shade,12,38,38,18,23,49,65,23,28,33,70,43,52,83,118,33,92,86,72,25,,,
940 110011818156,w192385,940 110019088685,2931,High Shade,6,63,37,25,54,21,17,31,60,40,43,58,35,30,149,75,82,56,82,52,,,
940 110011818156,w192385,940 110012567392,w192006,High Shade,17,31,31,63,49,18,59,27,57,59,80,21,56,40,88,50,64,77,68,124,,,
940 110011818156,w192385,940 110019091854,w192180,High Shade,15,70,38,42,55,69,45,140,52,62,39,45,28,31,136,32,78,94,25,80,,,
940 110011818156,w192385,940 110019091342,y450,High Shade,5,62,31,20,24,56,18,20,56,29,51,35,29,44,182,22,82,115,102,50,,,
940 110011818156,w192385,940 110012567798,w1697,High Shade,6,50,27,66,45,95,67,51,104,43,40,9,48,141,69,55,65,35,22,112,,,
940 110008003692,w192258,940 110009539845,2635,Medium Shade,,41,28,34,4,17,34,14,56,28,22,4,24,,,9,51,1,,,,,
940 110008003692,w192258,940 110012554582,y465,Medium Shade,,33,29,31,33,45,20,2,10,9,33,12,33,,,1,16,5,,,,,
940 110008003692,w192258,940 110009423305,y1018,Medium Shade,,48,45,11,25,38,24,1,32,17,10,25,18,,,1,38,,,,,,
940 110008003692,w192258,940 110009540482,2623,Medium Shade,27,102,45,45,25,35,28,8,76,5,17,72,4,,,55,45,1,,,,,
940 110008003692,w192258,940 110009538683,2982,Medium Shade,9,25,58,35,11,30,29,16,18,24,14,124,4,,,,20,,,,,,
940 110008003692,w192258,940 110019091126,w1524,Medium Shade,7,48,45,47,24,20,65,82,62,9,15,34,11,,,17,59,,,,,,
940 110008003692,w192258,940 110009538773,W192534,Medium Shade,,21,30,19,10,6,36,8,39,12,50,75,22,,,,49,30,,,,,
940 110008003692,w192258,940 110009539776,w1562,Medium Shade,,30,38,13,15,8,33,36,35,3,6,3,2,,,1,26,1,,,,,
940 110008003692,w192258,940 110009422305,w192301,Medium Shade,10,56,31,44,14,66,50,1,11,6,1,14,15,,,4,62,2,,,,,
940 110008003692,w192258,940 110009539512,y461,Medium Shade,2,34,22,26,23,14,8,3,25,23,28,5,33,,,,54,4,,,,,
940 110008003692,w192258,940 110012568063,2011,Medium Shade,18,59,41,52,20,26,14,6,8,88,19,7,1,,,1,9,2,,,,,
940 110008003692,w192258,940 110019090313,2453,Medium Shade,5,20,17,18,82,29,6,29,15,25,7,22,7,,,3,51,50,,,,,
940 110008003692,w192258,940 110009539462,2561,Medium Shade,,20,33,34,22,24,9,8,18,20,9,64,2,,,,,,,,,,
940 110008003692,w192258,940 110009538600,O45,Medium Shade,,17,53,30,15,23,14,46,26,6,9,78,8,,,12,41,1,,,,,
940 110008003692,w192258,940 110009539531,2720,Medium Shade,,19,86,18,7,29,36,8,27,32,1,3,35,,,3,69,,,,,,
940 110008003692,w192258,940 110019091113,2333,Medium Shade,7,43,43,23,27,14,20,22,72,48,27,7,3,,,,24,4,,,,,
940 110008003692,w192258,940 110012568279,2487,Medium Shade,16,35,23,9,24,13,15,2,18,47,14,55,7,,,75,44,8,,,,,
940 110008003692,w192258,940 110009539554,2426,Medium Shade,1,72,31,42,31,43,23,3,22,41,11,5,16,,,29,64,,,,,,
940 110008003692,w192258,940 110009540542,w987,Medium Shade,4,49,42,49,41,21,19,40,62,25,60,12,8,,,41,31,,,,,,
940 110008003692,w192258,940 110012567199,2442,Medium Shade,14,32,15,40,24,23,22,4,45,22,14,21,32,,,12,87,5,,,,,
940 110008003692,w192258,940 110012565616,2446,Medium Shade,18,61,60,10,20,46,14,17,21,4,15,7,3,,,2,60,15,,,,,
940 110008003692,w192258,940 110009538378,2516,Medium Shade,,31,46,19,8,15,9,25,34,12,61,18,2,,,5,28,72,,,,,
940 110008003692,w192258,940 110009540938,2430,Medium Shade,13,34,34,17,60,22,33,43,50,26,4,214,7,,,21,50,,,,,,
940 110008003692,w192258,940 110012567432,3739,Medium Shade,,,,,,,,,11,9,1,7,12,,,4,24,24,,,,,
940 110008003692,w192258,940 110019091096,3740,Medium Shade,9,40,33,29,11,38,7,38,29,9,8,10,,,,6,53,6,,,,,
940 110008003692,w192258,940 110009539788,2896,Medium Shade,14,36,24,24,44,27,76,3,43,21,32,15,6,,,32,109,7,,,,,
940 110008003692,w192258,940 110009538678,w1619,Medium Shade,,23,18,106,89,28,21,14,49,14,1,3,10,,,,15,43,,,,,
940 110008003692,w192258,940 110009540694,w192407,Medium Shade,,9,49,29,16,31,9,2,9,35,3,136,,,,,64,120,,,,,
940 110008003692,w192258,940 110009538658,w192549,Medium Shade,6,22,29,30,29,27,24,22,88,4,6,24,63,,,3,23,6,,,,,
940 110008003692,w192258,940 110012566414,2330,Medium Shade,18,13,47,32,27,35,25,25,24,46,11,187,14,,,5,14,4,,,,,
940 110008003692,w192258,940 110009539901,w787,Medium Shade,,21,38,32,28,61,12,46,23,20,31,6,25,,,,6,86,,,,,
940 110008003692,w192258,940 110019091108,2532,Medium Shade,4,39,28,20,57,75,41,4,37,16,2,9,12,,,3,30,1,,,,,
940 110008003692,w192258,940 110012567544,2586,Medium Shade,15,12,26,31,16,16,26,8,8,,7,17,7,,,,64,10,,,,,
940 110008003692,w192258,940 110019090804,w1682,Medium Shade,15,50,35,55,28,11,22,1,25,26,7,6,5,,,2,49,131,,,,,
940 110008003692,w192258,940 110009422295,3760,Medium Shade,7,36,34,38,29,43,43,2,38,29,4,25,,,,3,48,1,,,,,
940 110008003692,w192258,940 110009539751,y1021,Medium Shade,,10,28,21,14,19,17,5,49,24,13,5,1,,,,,,,,,,
940 110008003692,w192258,940 110019090769,2718,Medium Shade,8,16,53,32,7,75,26,19,27,16,26,77,3,,,,12,3,,,,,
940 110008003692,w192258,940 110019090337,w233,Medium Shade,7,42,11,10,15,5,13,26,25,39,16,1,11,,,1,26,34,,,,,
940 110008003692,w192258,940 110009539049,w192040,Medium Shade,,23,40,41,21,16,87,12,31,4,2,46,1,,,,,,,,,,
940 110008003692,w192258,940 110009540965,w1659,Medium Shade,4,39,58,72,63,12,10,1,3,19,17,72,9,,,1,20,2,,,,,
940 110008003692,w192258,940 110012568023,2370,Medium Shade,1,29,24,74,14,29,23,7,25,52,8,6,15,,,1,32,32,,,,,
940 110008003692,w192258,940 110019090456,w192035,Medium Shade,39,47,43,29,17,20,38,5,73,57,10,24,10,,,,43,14,,,,,
940 110008003692,w192258,940 110019091425,w1704,Medium Shade,11,24,44,61,22,20,41,2,18,67,4,35,11,,,7,44,,,,,,
940 110008003692,w192258,940 110009540223,2538,Medium Shade,55,121,23,25,11,43,7,,6,9,4,5,24,,,,14,9,,,,,
940 110008003692,w192258,940 110012568242,w1779,Medium Shade,28,57,38,30,28,15,33,64,27,10,3,56,6,,,,24,138,,,,,
940 110008003692,w192258,940 110009540130,2685,Medium Shade,,20,44,60,16,64,123,40,12,8,4,9,11,,,,40,49,,,,,
940 110008003692,w192258,940 110009422834,2605,Medium Shade,,37,50,20,18,20,33,29,30,22,8,13,54,,,1,12,,,,,,
940 110008003692,w192258,940 110009539936,Y433,Medium Shade,1,23,38,20,8,5,18,22,40,7,14,46,7,,,3,56,30,,,,,
940 110008003692,w192258,940 110019089967,2715,Medium Shade,4,51,20,30,33,72,20,31,14,44,13,10,2,,,3,62,,,,,,
940 110008003692,w192258,940 110009540565,w1559,Medium Shade,,9,25,42,7,8,42,13,27,21,8,9,11,,,2,33,6,,,,,
940 110008003692,w192258,940 110009541646,W192086,Medium Shade,,24,26,28,48,28,7,21,51,32,6,35,6,,,,45,,,,,,
