Ram_EID,Ram_coller,Ewe_EID,Ewe_coller,Plot,14/2/2023,15/2/2023,16/2/2023,17/2/2023,18/2/2023,19/2/2023,20/2/2023,21/2/2023,22/2/2023,23/2/2023,24/2/2023,25/2/2023,26/2/2023,27/2/2023,28/2/2023,1/3/2023,2/3/2023,3/3/2023,4/3/2023,5/3/2023,6/3/2023,7/3/2023
940 110006914414,w192267,940 110012554759,W1609,No Shade,36,32,50,30,52,36,30,115,63,89,67,49,56,52,70,65,81,51,22,48,2,
940 110006914414,w192267,940 110012566374,2532,No Shade,17,31,49,12,18,35,33,34,89,45,151,76,19,76,172,46,25,51,56,55,23,
940 110006914414,w192267,940 110009423076,2967,No Shade,18,51,43,14,37,56,57,55,76,48,62,58,75,30,63,48,80,60,33,50,30,
940 110006914414,w192267,940 110009539735,2570,No Shade,16,28,147,11,11,34,51,46,35,52,19,20,45,51,59,29,37,30,31,,,
940 110006914414,w192267,940 110009538608,2954,No Shade,12,60,29,47,19,48,29,29,50,44,40,48,17,40,61,17,39,41,88,72,,
940 110006914414,w192267,940 110009538759,2481,No Shade,12,28,34,32,23,45,17,26,129,39,54,29,24,36,51,18,81,79,43,89,31,
940 110006914414,w192267,940 110009422169,W1683,No Shade,5,15,27,18,14,27,24,15,23,19,16,20,17,10,2,,,,,,,
940 110006914414,w192267,940 110012567583,Y465,No Shade,4,27,22,31,67,36,74,80,79,56,44,30,52,32,87,74,60,66,19,86,12,
940 110006914414,w192267,940 110006544076,3770,No Shade,24,26,47,39,34,39,22,45,39,107,66,41,72,60,90,18,34,40,15,27,12,
940 110006914414,w192267,940 110009540904,2504,No Shade,10,19,93,61,25,41,13,23,32,26,32,77,8,26,25,29,20,24,60,12,2,
940 110006914414,w192267,940 110009540316,3749,No Shade,110,49,27,34,15,25,34,34,31,41,30,56,55,50,64,72,44,56,37,29,8,
940 110006914414,w192267,940 110006544437,W192094,No Shade,10,30,20,35,27,37,34,64,22,35,39,216,41,55,22,24,34,19,49,76,,
940 110006914414,w192267,940 110012565638,2341,No Shade,9,17,23,49,22,26,36,47,188,52,73,32,90,50,65,16,20,92,40,29,112,
940 110006914414,w192267,940 110012554855,W934,No Shade,17,34,40,24,31,39,60,80,47,59,109,41,56,54,7,13,21,82,35,10,,
940 110006914414,w192267,940 110012554100,w192014,No Shade,6,20,14,5,45,51,10,21,28,11,18,63,10,66,47,16,22,44,26,42,7,
940 110006914414,w192267,940 110009541579,w192325,No Shade,7,25,49,22,56,59,24,17,30,44,20,23,,,,,,,,,,
940 110006914414,w192267,940 110012565591,2491,No Shade,16,31,22,30,17,75,38,39,25,40,52,59,47,47,34,13,266,29,20,29,17,
940 110006914414,w192267,940 110009423267,2600,No Shade,9,10,86,22,14,17,21,29,16,59,28,7,73,20,16,20,81,14,42,33,5,
940 110006914414,w192267,940 110009541499,w192256,No Shade,7,21,7,72,359,35,42,22,59,40,33,13,,,,,,,,,,
940 110006914414,w192267,940 110009538450,2486,No Shade,18,24,28,60,53,35,36,27,55,43,7,21,27,41,49,34,31,63,70,55,57,
940 110006914414,w192267,940 110009541605,2687,No Shade,13,60,70,13,51,31,35,275,69,55,45,26,62,37,46,24,21,100,93,49,47,
940 110006914414,w192267,940 110009539789,W192223,No Shade,15,16,178,59,14,32,38,35,42,25,28,50,33,69,43,28,40,46,29,35,45,
940 110006914414,w192267,940 110009539851,3759,No Shade,10,34,41,42,52,32,20,21,23,38,31,4,6,8,8,,,,,,,
940 110006914414,w192267,940 110009421841,2582,No Shade,6,20,49,43,34,52,28,26,50,24,88,44,26,74,39,78,89,74,49,8,,
940 110006914414,w192267,940 110006720785,2710,No Shade,20,24,44,39,25,48,69,78,54,36,22,30,61,69,58,60,42,76,64,47,82,
940 110006914414,w192267,940 110012554680,w192579,No Shade,11,21,43,46,52,39,28,24,50,42,31,31,15,33,85,54,24,38,63,33,1,
940 110006914414,w192267,940 110012554293,2949,No Shade,,,,,,,,7,2,9,22,15,12,73,28,66,31,26,19,38,,
940 110006914414,w192267,940 110009541227,W1695,No Shade,6,14,25,31,47,35,32,128,46,88,170,63,20,39,45,33,33,63,36,41,6,
940 110006914414,w192267,940 110009540648,W192004,No Shade,19,17,40,24,75,44,33,28,138,44,29,29,,,,,,,,,,
940 110006914414,w192267,940 110012554841,w192108,No Shade,11,13,34,32,15,41,20,42,79,76,69,27,19,55,48,45,29,40,44,4,47,2
940 110006914414,w192267,940 110012566524,W192361,No Shade,13,18,45,25,71,58,47,42,55,23,12,13,84,108,12,219,38,45,41,52,98,
940 110006914414,w192267,940 110009538791,2321,No Shade,8,18,15,13,18,14,9,21,19,10,17,12,22,63,28,28,46,267,44,24,7,
940 110006914414,w192267,940 110012565593,2565,No Shade,3,20,19,22,19,28,58,66,115,20,21,30,35,35,39,36,40,65,26,89,24,
940 110006914414,w192267,940 110009539903,w192523,No Shade,11,28,44,30,29,37,39,30,99,68,33,27,47,46,32,31,42,17,44,35,23,
940 110006914414,w192267,940 110009422824,O77,No Shade,11,31,11,40,18,37,40,49,87,16,70,118,37,52,104,50,69,81,56,84,137,
940 110006914414,w192267,940 110006543809,2616,No Shade,17,41,9,20,17,30,15,60,45,40,11,31,53,53,33,49,14,52,28,31,35,
940 110006914414,w192267,940 110009538938,2999,No Shade,14,35,18,58,34,33,28,55,65,91,61,22,30,37,28,28,25,38,32,27,46,
940 110006914414,w192267,940 110009540226,W766,No Shade,22,15,38,22,17,25,25,32,19,35,192,3,11,14,9,,,,,,,
940 110006914414,w192267,940 110009540610,2891,No Shade,11,32,25,30,13,33,23,39,45,56,27,32,16,26,25,26,37,71,21,21,,
940 110006914414,w192267,940 110006719384,2557,No Shade,11,49,38,20,25,44,15,22,36,32,46,30,48,40,77,43,39,101,33,31,30,
940 110006914414,w192267,940 110009541616,3761,No Shade,17,45,29,31,16,87,41,55,43,53,92,510,26,40,30,38,39,29,35,16,2,
940 110006914414,w192267,940 110009541085,2365,No Shade,18,27,19,38,21,23,35,74,42,29,49,17,68,91,30,13,66,45,21,19,,
940 110006914414,w192267,940 110009541010,W1751,No Shade,23,21,35,60,24,27,39,40,43,44,22,23,19,70,77,27,38,42,53,8,,
940 110006914414,w192267,940 110009541538,2514,No Shade,15,22,27,21,25,29,16,388,56,52,34,37,29,72,46,19,37,23,93,81,37,
940 110006914414,w192267,940 110006543850,w1559,No Shade,23,53,33,52,23,66,26,36,65,41,95,125,71,28,58,86,60,20,48,68,18,
940 110006914414,w192267,940 110009538716,2527,No Shade,11,34,45,50,65,20,23,16,21,25,21,5,8,5,8,,,,,,,
940 110006914414,w192267,940 110012567575,2575,No Shade,8,7,24,18,39,39,21,62,101,53,54,53,17,33,46,56,122,26,59,15,,
940 110007343200,w1570,940 110009538634,W782,Medium Shade,15,52,49,36,27,46,22,58,11,11,112,187,,,18,48,196,,,,,
940 110007343200,w1570,940 110012566578,2649,Medium Shade,12,42,45,50,51,29,50,112,42,76,271,67,,,43,30,184,142,,,,
940 110007343200,w1570,940 110009538667,w785,Medium Shade,18,65,42,21,45,53,36,53,37,49,190,116,,,41,26,122,4,,,,
940 110007343200,w1570,940 110009539788,2403,Medium Shade,19,39,33,24,32,70,41,43,37,25,85,3,,,,,,,,,,
940 110007343200,w1570,940 110009541163,w192043,Medium Shade,9,23,32,22,42,17,58,44,54,44,106,81,,,22,20,125,15,,,,
940 110007343200,w1570,940 110012567879,w9332,Medium Shade,14,10,,,,,,3,9,10,51,83,,,18,37,84,2,,,,
940 110007343200,w1570,940 110009541611,w978,Medium Shade,17,39,21,44,50,49,27,28,23,26,128,54,,,54,23,137,18,,,,
940 110007343200,w1570,940 110009538773,w9285,Medium Shade,16,26,42,29,51,45,63,38,36,35,174,12,,,12,49,143,88,,,,
940 110007343200,w1570,940 110006719983,2631,Medium Shade,12,38,30,47,43,23,28,45,69,17,140,37,,,9,25,101,8,,,,
940 110007343200,w1570,940 110012567383,w192087,Medium Shade,14,33,28,60,52,34,35,32,49,30,152,240,,,9,33,132,80,,,,
940 110007343200,w1570,940 110006544568,2927,Medium Shade,4,39,28,59,32,23,39,31,48,27,180,82,,,35,48,159,5,,,,
940 110007343200,w1570,940 110012554464,w192258,Medium Shade,8,56,29,30,33,42,47,21,58,42,100,13,,,19,26,73,40,,,,
940 110007343200,w1570,940 110012568163,2602,Medium Shade,34,29,42,55,52,71,37,50,45,30,149,45,,,11,71,132,15,,,,
940 110007343200,w1570,940 110009541581,2030,Medium Shade,14,46,51,62,57,59,67,20,139,68,130,46,,,16,59,96,147,,,,
940 110007343200,w1570,940 110006544020,2499,Medium Shade,5,31,34,32,54,96,66,84,89,29,113,102,,,21,21,205,9,,,,
940 110007343200,w1570,940 110012568175,w226,Medium Shade,18,34,28,21,22,23,27,9,32,39,114,133,,,16,44,189,9,,,,
940 110007343200,w1570,940 110006543878,3800,Medium Shade,22,37,62,31,56,50,47,20,42,21,192,111,,,22,19,116,60,,,,
940 110007343200,w1570,940 110006544998,2507,Medium Shade,39,31,32,37,59,47,42,37,40,35,187,18,,,10,67,90,5,,,,
940 110007343200,w1570,940 110019088899,3712,Medium Shade,9,46,38,38,64,56,26,46,36,30,105,81,,,15,33,102,13,,,,
940 110007343200,w1570,940 110009538645,2585,Medium Shade,10,25,43,49,32,22,36,75,40,57,100,31,,,15,4,130,2,,,,
940 110007343200,w1570,940 110009538492,w1657,Medium Shade,11,43,31,44,94,20,33,16,16,76,106,55,,,11,11,142,87,,,,
940 110007343200,w1570,940 110012554604,2666,Medium Shade,8,38,34,39,39,45,48,34,45,23,151,85,,,15,57,192,19,,,,
940 110007343200,w1570,940 110012567889,2336,Medium Shade,12,49,32,32,41,58,53,21,62,50,51,76,,,10,21,197,115,,,,
940 110007343200,w1570,940 110009541106,w9334,Medium Shade,22,61,51,111,64,49,74,68,37,43,111,173,,,21,46,116,20,,,,
940 110007343200,w1570,940 110009541554,2469,Medium Shade,24,38,38,53,62,40,33,49,65,28,177,32,,,18,17,68,,,,,
940 110007343200,w1570,940 110009540223,2531,Medium Shade,4,50,16,42,22,37,21,42,58,33,158,65,,,20,29,130,110,,,,
940 110007343200,w1570,940 110009422261,w799,Medium Shade,15,34,49,37,19,31,33,51,102,18,76,154,,,3,36,85,93,,,,
940 110007343200,w1570,940 110012567433,w800,Medium Shade,11,49,25,33,36,15,22,8,59,16,115,36,,,14,38,104,13,,,,
940 110007343200,w1570,940 110009539284,3791,Medium Shade,9,42,46,34,29,38,16,16,61,27,188,15,,,49,10,59,14,,,,
940 110007343200,w1570,940 110009540382,w723,Medium Shade,15,63,45,54,45,48,60,25,24,50,126,51,,,15,29,86,47,,,,
940 110007343200,w1570,940 110012567777,y455,Medium Shade,12,34,13,54,67,28,62,85,45,49,111,70,,,18,111,152,13,,,,
940 110007343200,w1570,940 110009530580,w192591,Medium Shade,16,35,77,23,39,37,35,42,17,11,127,63,,,33,23,124,164,,,,
940 110007343200,w1570,940 110009422295,2357,Medium Shade,13,42,34,26,51,30,34,22,52,40,126,36,,,15,30,132,23,,,,
940 110007343200,w1570,940 110006718504,w192366,Medium Shade,10,37,49,27,35,36,23,32,31,36,127,315,,,11,25,101,9,,,,
940 110007343200,w1570,940 110009541500,w192385,Medium Shade,33,49,47,30,67,42,33,34,55,40,105,44,,,22,48,94,163,,,,
940 110007343200,w1570,940 110009539438,3755,Medium Shade,13,18,34,25,16,29,15,24,31,67,142,3,,,9,6,153,49,,,,
940 110007343200,w1570,940 110012568242,w1756,Medium Shade,14,47,42,50,47,36,38,49,31,36,109,14,,,7,27,154,93,,,,
940 110007343200,w1570,940 110009540242,W253,Medium Shade,7,36,50,30,39,33,49,18,97,15,59,34,,,,,,,,,,
940 110007343200,w1570,940 110006718521,2689,Medium Shade,11,22,26,18,58,15,64,45,25,67,142,76,,,35,16,144,42,,,,
940 110007343200,w1570,940 110006544070,w192371,Medium Shade,14,40,76,29,66,65,62,30,67,79,167,98,,,18,22,140,5,,,,
940 110007343200,w1570,940 110009541424,w1679,Medium Shade,20,40,30,94,34,35,76,31,61,55,151,153,,,8,45,144,3,,,,
940 110007343200,w1570,940 110009422214,y449,Medium Shade,11,67,34,20,41,42,46,13,40,24,170,24,,,24,31,119,137,,,,
940 110007343200,w1570,940 110006544498,w192394,Medium Shade,13,20,25,53,23,35,68,14,53,105,134,75,,,12,13,184,84,,,,
940 110007343200,w1570,940 110009539776,w987,Medium Shade,18,64,34,40,30,32,16,31,22,56,61,8,,,29,15,122,18,,,,
940 110007343200,w1570,940 110009538378,Y458,Medium Shade,12,32,25,26,34,63,52,17,25,44,148,86,,,64,142,124,6,,,,
940 110007343200,w1570,940 110009540105,2489,Medium Shade,22,35,32,36,44,33,37,37,35,19,152,109,,,26,15,154,108,,,,
940 110007343200,w1570,940 110009540324,w192050,Medium Shade,12,41,50,37,44,38,72,37,99,83,126,46,,,30,12,104,8,,,,
940 110007343200,w1570,940 110009423311,2513,Medium Shade,13,30,39,25,30,50,77,83,42,61,66,10,,,13,74,100,2,,,,
940 110007343200,w1570,940 110009539528,2591,Medium Shade,14,38,44,39,51,37,34,28,42,67,217,255,,,16,59,99,2,,,,
940 110007343200,w1570,940 110009541620,2393,Medium Shade,10,24,29,50,48,41,36,64,60,67,141,6,,,15,19,133,50,,,,
940 110007343200,w1570,940 110012566812,2970,Medium Shade,18,26,72,58,49,46,95,29,27,43,143,168,,,21,24,76,14,,,,
940 110007343200,w1570,940 110009541422,w192388,Medium Shade,13,50,36,56,47,39,22,47,83,24,123,126,,,23,51,85,49,,,,
940 110007343200,w1570,940 110009539901,2960,Medium Shade,22,50,28,29,51,52,41,78,34,31,108,3,,,76,31,124,11,,,,
940 110007343200,w1570,940 110009541005,y430,Medium Shade,14,39,34,38,39,60,64,91,40,26,96,35,,,17,33,122,7,,,,
940 110007343200,w1570,940 110009422833,w192254,Medium Shade,15,40,36,33,30,47,43,46,114,45,114,68,,,42,34,198,5,,,,
940 110007343200,w1570,940 110009540715,2444,Medium Shade,9,93,25,26,30,48,46,16,22,40,135,10,,,39,24,106,19,,,,
940 110007343200,w1570,940 110006544267,w994,Medium Shade,15,40,32,54,41,27,41,28,65,62,95,54,,,9,30,83,20,,,,
940 110007343200,w1570,940 110012566552,2022,Medium Shade,21,32,46,37,48,39,23,75,77,44,143,47,,,21,49,102,166,,,,
940 110007343200,w1570,940 110012553681,2434,Medium Shade,6,41,27,32,25,15,35,11,19,63,120,93,,,7,18,86,17,,,,
940 110007343200,w1570,940 110012568279,w192503,Medium Shade,10,48,26,30,29,23,63,16,10,41,100,39,,,14,67,92,48,,,,
940 110007343200,w1570,940 110009539936,2595,Medium Shade,11,40,37,29,35,26,90,23,45,23,104,128,,,14,34,164,17,,,,
940 110007343200,w1570,940 110012566508,w9279,Medium Shade,32,22,46,46,38,40,59,24,6,24,73,24,,,22,27,130,7,,,,
940 110007343200,w1570,940 110009538761,2712,Medium Shade,14,37,38,42,41,43,23,11,40,49,248,33,,,33,71,199,162,,,,
940 110007343200,w1570,940 110009540544,2458,Medium Shade,9,43,39,50,37,50,65,51,84,54,135,35,,,5,26,119,9,,,,
940 110007343200,w1570,940 110009540065,2497,Medium Shade,10,30,52,32,57,75,42,42,59,44,147,174,,,14,25,124,97,,,,
940 110007343200,w1570,940 110006544222,3743,Medium Shade,12,43,57,41,36,17,27,37,13,21,213,101,,,11,27,69,4,,,,
940 110007343200,w1570,940 110006544411,w192123,Medium Shade,13,59,27,29,40,58,45,69,27,40,240,42,,,23,59,108,19,,,,
940 110007343200,w1570,940 110009539462,w1669,Medium Shade,5,28,28,30,16,41,21,28,24,30,188,18,,,19,26,192,78,,,,
940 110007343200,w1570,940 110006718460,2347,Medium Shade,15,26,29,57,42,24,53,25,39,30,148,90,,,14,25,141,7,,,,
940 110007343200,w1570,940 110012566414,2948,Medium Shade,7,33,30,35,28,29,40,70,59,50,153,202,,,20,75,96,54,,,,
940 110007343200,w1570,940 110006544432,w192202,Medium Shade,14,58,30,46,30,51,58,24,51,53,126,19,,,6,28,141,30,,,,
940 110007343200,w1570,940 110009540986,2021,Medium Shade,8,52,25,48,54,56,27,49,21,56,107,40,,,8,107,120,41,,,,
940 110007343200,w1570,940 110009538600,w192180,Medium Shade,12,40,43,54,80,23,20,32,50,45,59,73,,,,,,,,,,
940 110007343200,w1570,940 110012553723,W1585,Medium Shade,11,37,36,29,42,30,72,34,40,119,233,56,,,16,52,169,27,,,,
940 110007343200,w1570,940 110009420489,w192163,Medium Shade,7,32,27,15,28,38,8,37,27,50,78,9,,,8,25,92,68,,,,
940 110007343200,w1570,940 110006544262,3748,Medium Shade,8,53,37,31,26,41,54,51,66,64,180,82,,,17,40,169,18,,,,
940 110007343200,w1570,940 110009539959,2407,Medium Shade,11,33,30,38,27,42,25,24,42,57,101,36,,,14,18,68,4,,,,
940 110007343200,w1570,940 110009423033,o22,Medium Shade,12,31,25,24,38,28,37,20,27,29,194,34,,,38,25,165,69,,,,
940 110007343200,w1570,940 110009538323,3751,Medium Shade,15,77,42,26,39,46,38,23,43,54,122,8,,,19,72,104,10,,,,
940 110007343200,w1570,940 110012567369,w192576,Medium Shade,14,55,37,35,38,39,30,32,32,17,80,41,,,,,,,,,,
940 110007343200,w1570,940 110009538626,w9276,Medium Shade,9,37,20,23,31,17,24,48,46,43,168,322,,,23,83,89,10,,,,
940 110007343200,w1570,940 110012553583,w775,Medium Shade,10,28,54,54,60,64,44,67,51,55,180,39,,,3,28,99,32,,,,
940 110007343200,w1570,940 110009423237,3795,Medium Shade,13,45,47,48,40,46,30,25,81,108,180,60,,,12,27,79,145,,,,
940 110007343200,w1570,940 110012565445,W1538,Medium Shade,12,41,56,85,51,44,49,50,31,53,94,208,,,5,113,164,6,,,,
940 110007343200,w1570,940 110012566861,w192575,Medium Shade,11,51,32,33,38,39,39,38,44,44,223,84,,,9,23,136,35,,,,
940 110007343200,w1570,940 110012566817,o38,Medium Shade,18,61,32,39,65,54,23,42,93,35,134,20,,,17,43,66,131,,,,
940 110007343200,w1570,940 110009540843,w192055,Medium Shade,12,38,43,52,33,20,51,17,35,42,59,16,,,10,20,148,8,,,,
940 110007343200,w1570,940 110009541060,3727,Medium Shade,16,84,30,30,78,37,72,35,53,55,81,47,,,8,54,158,57,,,,
940 110007343200,w1570,940 110009540824,w192083,Medium Shade,12,44,34,30,168,42,34,30,22,22,177,184,,,32,31,118,30,,,,
940 110007343200,w1570,940 110012554582,w937,Medium Shade,9,36,37,45,67,28,54,43,43,48,106,49,,,8,45,131,43,,,,
940 110007343200,w1570,940 110009540482,2671,Medium Shade,12,70,68,52,49,75,50,79,48,77,348,67,,,23,47,199,27,,,,
940 110007343200,w1570,940 110009541329,w192204,Medium Shade,13,55,33,58,63,43,51,31,19,37,246,228,,,32,41,138,26,,,,
940 110007343200,w1570,940 110009538678,2944,Medium Shade,15,30,37,28,44,81,40,26,27,19,56,3,,,,,,,,,,
940 110007343200,w1570,940 110009422162,2034,Medium Shade,13,33,38,37,60,42,64,14,40,40,126,47,,,21,58,180,38,,,,
940 110007343200,w1570,940 110006543940,2350,Medium Shade,21,30,25,28,38,44,26,29,29,16,113,74,,,16,34,64,8,,,,
940 110007343200,w1570,940 110009539049,w192373,Medium Shade,36,54,48,24,39,23,39,51,81,14,128,9,,,7,20,151,8,,,,
940 110007343200,w1570,940 110009540573,2931,Medium Shade,11,24,36,47,44,59,18,5,16,28,89,29,,,35,12,116,4,,,,
940 110007343200,w1570,940 110009540542,2395,Medium Shade,21,30,36,49,30,37,63,40,59,43,130,78,,,20,33,83,56,,,,
940 110007343200,w1570,940 110006719962,w192152,Medium Shade,7,37,54,31,41,55,37,48,22,102,109,133,,,20,49,113,61,,,,
940 110007343200,w1570,940 110009540902,2479,Medium Shade,38,30,37,21,24,38,28,23,56,21,144,90,,,11,85,146,6,,,,
940 110007343200,w1570,940 110006544041,2404,Medium Shade,18,39,21,34,31,31,50,53,27,30,173,23,,,9,47,89,90,,,,
940 110007343200,w1570,940 110006544242,2573,Medium Shade,4,21,34,25,37,48,22,28,84,39,94,7,,,19,17,76,42,,,,
940 110007343200,w1570,940 110009539503,2612,Medium Shade,40,29,54,39,37,34,36,39,24,19,80,24,,,9,22,94,18,,,,
940 110007343200,w1570,940 110009423305,2400,Medium Shade,11,54,67,55,66,45,29,69,49,29,156,145,,,17,15,172,28,,,,
940 110007343200,w1570,940 110009541128,w192549,Medium Shade,12,35,36,89,41,47,22,37,47,42,191,28,,,3,39,198,158,,,,
940 110007343200,w1570,940 110006544363,w1539,Medium Shade,14,45,54,24,45,41,12,53,85,49,153,113,,,8,31,115,79,,,,
940 110007343200,w1570,940 110006720054,w967,Medium Shade,12,71,30,53,40,27,31,28,40,95,132,54,,,47,23,117,3,,,,
940 110007343200,w1570,940 110009541709,2694,Medium Shade,17,25,42,30,44,39,86,81,34,45,158,19,,,49,23,104,131,,,,
940 110007343200,w1570,940 110009540658,W1721,Medium Shade,22,53,44,39,29,65,30,36,30,49,176,45,,,1,46,78,12,,,,
940 110007343200,w1570,940 110009421837,3768,Medium Shade,6,26,24,70,42,37,31,51,26,32,168,12,,,40,40,118,16,,,,
940 110007343200,w1570,940 110006544016,y1080,Medium Shade,22,44,68,87,61,64,43,69,73,62,137,41,,,8,66,135,5,,,,
940 110007343200,w1570,940 110009539531,w1745,Medium Shade,8,59,27,40,31,40,29,39,27,35,124,16,,,26,40,119,38,,,,
940 110007343200,w1570,940 110009540342,w1531,Medium Shade,21,49,48,69,52,74,56,87,60,101,218,60,,,7,42,153,72,,,,
940 110007343200,w1570,940 110009540034,y1056,Medium Shade,14,41,33,30,34,81,37,22,21,29,83,110,,,37,32,112,22,,,,
940 110007343200,w1570,940 110009539591,2309,Medium Shade,4,46,72,25,37,29,25,28,21,28,105,21,,,7,9,92,7,,,,
940 110007343200,w1570,940 110009422264,2719,Medium Shade,6,24,41,35,33,37,25,21,58,18,164,33,,,22,43,150,32,,,,
940 110007343200,w1570,940 110009541056,y469,Medium Shade,10,26,59,88,44,32,28,12,34,27,130,54,,,20,35,109,67,,,,
940 110007343200,w1570,940 110012567544,2650,Medium Shade,3,30,23,54,47,58,19,42,17,56,126,43,,,6,18,162,5,,,,
940 110007343200,w1570,940 110009538579,w1680,Medium Shade,11,51,40,35,40,32,39,34,38,15,124,47,,,12,42,132,5,,,,
940 110007343200,w1570,940 110009540595,w778,Medium Shade,11,40,29,37,43,58,29,20,47,37,84,11,,,45,79,80,2,,,,
940 110007343200,w1570,940 110012566856,2621,Medium Shade,11,59,50,32,28,33,30,18,46,37,131,182,,,28,48,106,48,,,,
940 110007343200,w1570,940 110009540683,2571,Medium Shade,18,19,44,26,24,18,40,52,22,133,121,12,,,5,44,126,47,,,,
940 110007343200,w1570,940 110009539496,w192374,Medium Shade,5,31,12,23,33,52,31,37,42,34,127,62,,,18,40,124,13,,,,
940 110007343200,w1570,940 110006544207,2979,Medium Shade,9,34,27,33,26,22,55,58,12,75,122,38,,,45,46,83,28,,,,
940 110007343200,w1570,940 110006543993,y434,Medium Shade,14,33,25,30,41,62,28,49,20,31,76,73,,,32,41,182,57,,,,
940 110007343200,w1570,940 110012553690,w9537,Medium Shade,10,42,27,37,42,54,43,38,47,72,166,4,,,8,43,187,52,,,,
940 110007343200,w1570,940 110009541417,2367,Medium Shade,18,18,12,21,38,21,52,26,46,60,106,9,,,30,35,104,19,,,,
940 110007343200,w1570,940 110009539436,3764,Medium Shade,12,32,24,42,61,43,38,21,27,79,110,26,,,19,26,133,29,,,,
940 110007343200,w1570,940 110006544862,2628,Medium Shade,11,45,28,37,31,26,33,60,33,20,96,122,,,12,44,144,17,,,,
940 110007343200,w1570,940 110009540965,2355,Medium Shade,12,58,98,25,35,28,16,12,28,64,123,7,,,35,54,96,35,,,,
940 110007343200,w1570,940 110012565603,2942,Medium Shade,26,46,57,79,20,40,36,50,25,42,77,165,,,24,120,81,19,,,,
940 110007343200,w1570,940 110006718499,2950,Medium Shade,20,27,29,27,21,101,43,21,30,96,146,110,,,12,18,87,138,,,,
940 110007343200,w1570,940 110009540230,w1648,Medium Shade,13,30,30,40,31,28,34,36,21,31,131,22,,,19,28,117,24,,,,
940 110007343200,w1570,940 110009541058,2019,Medium Shade,19,37,31,54,35,99,69,31,41,31,130,31,,,19,27,113,3,,,,
940 110007343200,w1570,940 110009540741,2015,Medium Shade,27,34,31,56,62,45,51,59,19,30,219,12,,,16,30,163,7,,,,
940 110007343200,w1570,940 110006544692,w192595,Medium Shade,11,35,56,69,62,32,35,42,34,34,120,47,,,9,8,109,22,,,,
940 110007343200,w1570,940 110009538980,2681,Medium Shade,16,41,70,44,67,35,62,35,58,92,102,61,,,25,23,188,14,,,,
940 110007343200,w1570,940 110009541492,2574,Medium Shade,5,38,27,40,62,58,41,37,18,41,101,70,,,8,6,78,8,,,,
940 110007343200,w1570,940 110009539845,w192320,Medium Shade,14,36,57,42,46,47,42,36,40,28,155,4,,,12,38,111,1,,,,
940 110007343200,w1570,940 110009538665,y437,Medium Shade,11,34,30,34,30,29,18,73,49,65,199,9,,,7,10,103,161,,,,
940 110007343200,w1570,940 110012554097,y427,Medium Shade,13,36,19,39,44,74,29,26,92,13,253,32,,,8,27,133,5,,,,
940 110007343200,w1570,940 110009422834,w767,Medium Shade,7,40,43,27,26,33,21,18,22,43,119,80,,,16,73,108,101,,,,
940 110007343200,w1570,940 110009538792,w1622,Medium Shade,11,32,39,50,55,40,32,68,23,49,84,82,,,17,43,153,4,,,,
940 110007343200,w1570,940 110009541646,w1640,Medium Shade,21,31,33,44,25,69,44,47,56,63,119,12,,,18,32,149,7,,,,
940 110007343200,w1570,940 110012565625,y429,Medium Shade,11,29,49,39,25,17,22,86,17,41,127,31,,,12,51,106,42,,,,
940 110007343200,w1570,940 110006543890,2610,Medium Shade,9,44,48,43,39,22,29,32,31,37,178,33,,,21,30,85,9,,,,
940 110007343200,w1570,940 110006544303,w192569,Medium Shade,8,32,36,23,46,44,39,35,50,22,53,80,,,,,,,,,,
940 110007343200,w1570,940 110006544003,w192226,Medium Shade,11,36,30,21,30,63,50,38,23,32,134,22,,,17,42,69,5,,,,
940 110007343200,w1570,940 110009422288,2895,Medium Shade,6,34,36,38,33,24,43,29,32,32,61,45,,,13,12,126,1,,,,
940 110007343200,w1570,940 110009539521,2594,Medium Shade,8,38,23,40,24,29,30,23,21,53,126,77,,,24,29,158,3,,,,
940 110007343200,w1570,940 110009538657,w192255,Medium Shade,14,62,59,24,35,30,38,50,61,37,123,11,,,22,26,98,74,,,,
940 110007343200,w1570,940 110012567347,2419,Medium Shade,9,20,40,26,30,29,36,73,40,15,89,19,,,20,16,105,129,,,,
940 110007343200,w1570,940 110009540569,w192584,Medium Shade,7,59,76,28,58,28,37,11,61,59,75,27,,,17,12,104,34,,,,
940 110007343200,w1570,940 110006544508,2669,Medium Shade,11,30,49,26,37,51,47,121,93,26,92,34,,,38,38,97,151,,,,
940 110007343200,w1570,940 110009539428,2386,Medium Shade,11,41,35,42,30,34,52,58,37,68,198,29,,,19,15,90,38,,,,
940 110007343200,w1570,940 110009538983,2459,Medium Shade,7,31,29,37,25,35,52,53,24,59,61,73,,,21,46,62,2,,,,
940 110007343200,w1570,940 110006544465,w9330,Medium Shade,13,44,30,55,52,35,59,18,43,61,185,180,,,17,42,177,11,,,,
940 110007343200,w1570,940 110009539931,2521,Medium Shade,13,25,45,50,56,47,41,38,32,36,221,43,,,20,54,181,92,,,,
940 110007343200,w1570,940 110009541583,2448,Medium Shade,10,30,37,36,41,35,49,80,22,37,233,89,,,24,30,159,160,,,,
940 110007343200,w1570,940 110009541309,w784,Medium Shade,7,22,24,42,47,19,64,44,36,87,110,82,,,23,25,142,20,,,,
